comply with international obligations	diplomacy	Newswire-1
The White House Peace Vigil, June 2006	prayer	Descriptive-254
View of Nuvsvåg from Lopptinden	landscape	Descriptive-255
1992 Toyota Celica GT-Four Carlos Sainz Limited Edition	car	Descriptive-256
Lake Müritz in Röbel	lake	Descriptive-257
Pneumomediastinum with Angel wing sign	evidence	Descriptive-258
Representation of a Povoan fishermen in an 1868 magazine	fishing	Descriptive-259
A mound of Girl Scout cookies	cookies	Descriptive-260
"Fighting Solidarity" poster, modeled after World War II "Kotwica" emblem	propaganda	Descriptive-261
Marian Anderson in 1940, by Carl Van Vechten	camera	Descriptive-262
Kings Park as seen from Perth Water	park	Descriptive-263
Military band of the Chasseurs alpins	orchestra	Descriptive-264
Princess Juliana & Prince Bernhard celebrate their engagement in Amsterdam	crown	Descriptive-265
The Mural Wall at The Ship parking lot, Silverstrand Beach	art	Descriptive-266
A jaguar-shaped cuauhxicalli in the National Museum of Anthropology	vessel	Descriptive-267
Golf & Mike performing on MTV Fast Forward in 2009	comedy	Descriptive-268
Sutlej River in Kinnaur Valley, Himachal Pradesh	valley	Descriptive-269
Thermal emission map of Io by Galileo	geyser	Descriptive-270
A larger turntable in front of a roundhouse, 1909	cluster	Descriptive-271
An early group of caves at Kanheri Caves	cavern	Descriptive-272
Bradford City Hall Tower and Flagpole	flag	Descriptive-273
A 1907 poster of the Bullfrog Mine at Rhyolite, Nevada	poster	Descriptive-274
Coat of arms of the Ragusan families	Sherlock	Descriptive-275
West Roxbury Branch Library	library	Descriptive-276
Coronation of the icon by Pope Pius XII in 1954	Coronation	Descriptive-277
A polished slice of liddicoatite from Madagascar	quarry	Descriptive-278
A bluespotted trevally taken from northern Queensland	bird	Descriptive-279
The Venus flytrap, a species of carnivorous plant	Venus flytrap	Descriptive-280
Engraving of 1727, showing the east face with cloisters	monastery	Descriptive-281
A church on the outskirts of Ziguinchor	Chaplin	Descriptive-282
"Mkrtich Khrimian near Echmiadzin" Ivan Aivazovsky 1885	patriarch	Descriptive-283
Anton Dostler tied to a stake before his execution	fire	Descriptive-284
Robert Gordon's Hospital, Aberdeen, now Robert Gordon's College	hospital	Descriptive-285
Lake Gnangara in spring 2012	rains	Descriptive-286
Prambanan temple complex	temple	Descriptive-287
Adoration Tomato being grown on trellis	tomatoes	Descriptive-288
The hanging of 'Saint John Ogilvie' SJ	battle	Descriptive-289
Whiskered Tern in Thommana, Chalakudy	tern	Descriptive-290
Typical T-shaped doorway	junction	Descriptive-291
Lancaster House, Manchester, built in 1910	building	Descriptive-292
A motorcycle taxi waiting for passenger in London	RPG-7	Descriptive-293
Loess landscape near Hunyuan	moss	Descriptive-294
Basaloid squamous-cell carcinoma	cancer	Descriptive-295
Platforms with a Regionalbahn service towards Pleinfeld station	platform	Descriptive-296
A Colby varsity runner, competing against Bates College	eggshell	Descriptive-297
Seneca creek/Buffalo creek as it flows through West Seneca	water	Descriptive-298
A 19th-century Japanese Ukiyo-e depicting a Dutch embassy	ambassador	Descriptive-299
A silver grass-fed Murray Grey heifer and sheep	express	Descriptive-300
Detail of the Biscogniauxia nummularia's structure	plant	Descriptive-301
Palm-leaf manuscript of Mattakallappu Manmiyam at Batticaloa Museum	writing	Descriptive-302
Scituate Lighthouse, Scituate Harbor	beacon	Descriptive-303
Laurisilva of Garajonay National Park, in La Gomera	forest	Descriptive-304
A 1783 engraving depicting the exploding magazine	irises	Descriptive-305
Portrait of the Guangxu Emperor in his study	demonstration	Descriptive-306
Mosaic of Trumbull's Declaration of Independence	chameleon	Descriptive-307
ex-Cilgwyn steam locomotive "Lilla" shown visiting the Llanberis Lake Railway	console	Descriptive-308
A section of the line downstream from Monbulk Creek	mill	Descriptive-309
Poetry on stone at the Meguti temple Aihole	monk	Descriptive-310
General Pershing's ribbons as they would appear today	awards	Descriptive-311
A map of the regions and zones of Ethiopia	map	Descriptive-312
Sign with the former station name "Kreuzberg"	sign	Descriptive-313
Demonstration on the Nagorno-Karabakh in Cyprus in 1993	protest	Descriptive-314
Jewish Agency headquarters in Jerusalem	headquarters	Descriptive-315
Moses Billings' portrait of former president John Quincy Adams	gastropod	Descriptive-316
An example of torque in real life	torque	Descriptive-317
The three peaks of Gasherbrum	mountains	Descriptive-318
1961 Chrysler New Yorker convertible	carp	Descriptive-319
Image of one of the original Tetris game covers	video game	Descriptive-320
Destroyed house in Sunja, from war 1991-1995	destruction	Descriptive-321
A page from one of Gros' books	telephone	Descriptive-322
Leawood pump house	power	Descriptive-323
Spanish Historical Center in Quito	railway	Descriptive-324
Prussian carp Carassius gibelio as comparison	carp	Descriptive-325
A standard guitar has 6 String instrument	coulommiers	Descriptive-326
Fanny Ardant, 2005 Cannes Film Festival	treasury note	Descriptive-327
The Chateau Verpilleux-Montgolfier at the end of the 19th century	chateau	Descriptive-328
Halmidi inscription of 450 AD	writing	Descriptive-329
A view of the Marine Drive from the Maharaja's Campus	view	Descriptive-330
Front view of Soekarno-Hatta International Airport Terminal 3	airport	Descriptive-331
Map showing silk routes	trade route	Descriptive-332
2002 Steeda Mustang GT	Mustang GT	Descriptive-333
McDonald's and KFC restaurants in China	fast food	Descriptive-334
a modern word used to describe  the portrayal of the human anatomy and sexuality with high-art aspirations	nudes	Lexicographic-335
a person of great intelligence	professor	Lexicographic-336
a  stellar explosion	nova	Lexicographic-337
an animal lacking a vertebral column	primitive	Lexicographic-338
a standardized set of letters - basic written symbols - each of which roughly represents a phoneme of a spoken language	braille	Lexicographic-339
a tool used in farming for initial cultivation of soil in preparation for sowing seed or planting	school	Lexicographic-340
the structural and functional unit of all known living organisms	DNA	Lexicographic-341
a bowed string instrument	violin	Lexicographic-342
an exchange of promises between two or more parties to do or refrain from doing an act which is enforceable in a court of law	pact	Lexicographic-343
a prophet who was swallowed by a great fish	Nineveh	Lexicographic-344
the branch  of a country's military forces principally designated for naval warfare and amphibious warfare namely lake- or ocean-borne combat operations and related functions	rifle	Lexicographic-345
a tube of mirrors  containing loose colored beads	children	Lexicographic-346
the party who initiates a lawsuit	recorder	Lexicographic-347
a surface used to produce lift and thrust or to steer while traveling in water	airfoil	Lexicographic-348
a structure found in many animals that is used for locomotion	feet	Lexicographic-349
the system of rules of conduct established by the sovereign government of a society to correct wrongs	lawyer	Lexicographic-350
a compound that adheres or bonds two items together	glue	Lexicographic-351
a sweet alcoholic beverage	fermentation	Lexicographic-352
a poisonous substance produced by living cells or organisms that is active at very low concentrations	venom	Lexicographic-353
a mathematical statement  which appears likely to be true	tautology	Lexicographic-354
a hot spring characterized by intermittent discharge of water ejected turbulently and accomplished by a vapour phase	eruption	Lexicographic-355
a social gathering for celebration and recreation	river	Lexicographic-356
a transcendental being found in many religions	God	Lexicographic-357
a material that resists the flow of electric current	capacitor	Lexicographic-358
essentially a database which is used to store all the information on a particular topic	index	Lexicographic-359
any observable characteristic of an organism	siberian tiger	Lexicographic-360
a Christian monastery or convent	abbey	Lexicographic-361
an administrative entity composed of a clearly defined territory and its population and commonly denotes a city	stanza	Lexicographic-362
a  unit of information or computer storage meaning either exactly 1 billion bytes	hard drive	Lexicographic-363
of the Christian sacraments said to have been instituted by Jesus of Nazareth	holy	Lexicographic-364
a calculating tool used primarily by Asians for performing arithmetic processes	abacus	Lexicographic-365
a long journey or search of great moral significance	supervolcano	Lexicographic-366
a chain  of islands	archipelago	Lexicographic-367
the manufacturing of a good or service within a category	seller	Lexicographic-368
either of two amphibious reptiles related to crocodiles but with shorter broader snouts	caiman	Lexicographic-369
a winged horse that was the son of Poseidon	sling	Lexicographic-370
a type of song	guitar	Lexicographic-371
a type of soldiers who are primarily trained for the role of fighting on foot	navy	Lexicographic-372
an isolated area of vegetation in a desert	ski	Lexicographic-373
a volcanic feature formed by the collapse of land following a volcanic eruption	caldera	Lexicographic-374
a military rank used in many navies for officers whose position exceeds that of a navy captain	admiral	Lexicographic-375
a state in which the body relies on a substance for normal functioning and develops physical dependence	addiction	Lexicographic-376
a writing or drawing instrument consisting of a thin stick of pigment	restaurant	Lexicographic-377
a musical instrument of the hand-held bellows-driven free-reed aerophone family	bagpipes	Lexicographic-378
a woman who is romantically and sexually attracted only to other women	marriage	Lexicographic-379
the rapid display of a sequence of images of 2-D or 3-D artwork or model positions in order to create an illusion of movement	movie	Lexicographic-380
typically  the apparition of a deceased person	soul	Lexicographic-381
a weapon consisting of a bow mounted on a stock that shoots projectiles	bow	Lexicographic-382
a dialogue intended to resolve disputes	shuttlecock	Lexicographic-383
a short story or ironic depiction of a situation communicated with the intent of being humorous	literature	Lexicographic-384
the female superior	abbess	Lexicographic-385
a system for governance	agreement	Lexicographic-386
any person involved in the growing and maintenance of plants	worker	Lexicographic-387
someone who posts controversial and usually irrelevant or off-topic messages in an online community	moderator	Lexicographic-388
an asynchronous signal from hardware indicating the need for attention or a synchronous event in software indicating the need for a change in execution	CPU	Lexicographic-389
the interrogation of a witness called by one's opponent	conversation	Lexicographic-390
a vehicle which is able to fly through the Earth's atmosphere or through any other atmosphere	plane	Lexicographic-391
the process of attaining awareness or understanding of sensory information	skeleton	Lexicographic-392
a figurative mode of representation conveying a meaning other than the literal	abstraction	Lexicographic-393
the correct term to use when the craft gains altitude or speed from rising air	increase	Lexicographic-394
consistency of the characteristics of persons	personality	Lexicographic-395
a barrier device most commonly used during sexual intercourse	prophylactic	Lexicographic-396
an instrumental ensemble	switch	Lexicographic-397
a serious crime	infraction	Lexicographic-398
an image created by light falling on a light-sensitive surface	secondary school	Lexicographic-399
an algorithm for performing encryption and decryption - a series of well-defined steps that can be followed as a procedure	cipher	Lexicographic-400
a pointing device that functions by detecting two-dimensional motion relative to its supporting surface	snare	Lexicographic-401
a large type of warship	frigate	Lexicographic-402
often seen as a universal power or pure substance	God	Lexicographic-403
an individual living system	sudetes	Lexicographic-404
simply an answer to a claim made by someone in a civil or criminal case under common law using the adversary system	Scrabble	Lexicographic-405
a flying tethered object that depends upon the tension of a tethering system	tail	Lexicographic-406
a member  of the Jewish people	zealot	Lexicographic-407
a messenger and ambassador	emissary	Lexicographic-408
the workplace of a smith or a blacksmith	office	Lexicographic-409
the name for one of the great mountain range systems of Europe	alps	Lexicographic-410
an American stock exchange	supernova	Lexicographic-411
an urban settlement	village	Lexicographic-412
a strike using the foot	shin	Lexicographic-413
a brief statement that contains the most important points of a long legal document or of several related legal papers	abstract	Lexicographic-414
a widely-recognized or famous person who commands a high degree of public and media attention	actor	Lexicographic-415
a person or agency considered to be a source of wise counsel or prophetic opinion	rhetoric	Lexicographic-416
an ordained office of the ministry	nun	Lexicographic-417
a broad high arch of whitish or rosy light appearing in the sky due to very fine particles of dust suspended in the high regions of the atmosphere	sunset	Lexicographic-418
an influential group of science fiction fans	trekkies	Lexicographic-419
the external opening of the rectum	anus	Lexicographic-420
a biological agent that causes disease or illness to its host	spear	Lexicographic-421
a small human-powered boat	lake	Lexicographic-422
an activity designed to give people pleasure or relaxation	sports	Lexicographic-423
a system used to make finding information easier	retrieval	Lexicographic-424
a traditional garment of Scotland	shilelagh	Lexicographic-425
a software component that runs in the context of another program	virtualized	Lexicographic-426
a historical account of facts and events in chronological order	chronology	Lexicographic-427
an Italian manufacturer of sports cars	BMW	Lexicographic-428
a shortened form of a word or phrase	abbreviation	Lexicographic-429
a peripheral partially modelled after the typewriter keyboard	mouse	Lexicographic-430
a hand tool for drilling small holes	screwdriver	Lexicographic-431
a method for fastening or securing linear material such as rope by tying or interweaving	boat	Lexicographic-432
a religious opinion on Islamic law issued by an Islamic scholar	treatise	Lexicographic-433
used to refer  to a data type which represents some finite subset of the mathematical integers	numbers	Lexicographic-434
a mechanical device that produces some form of output from a given input	machine	Lexicographic-435
the fee paid by a traveler allowing him or her to make use of a public transport system	payment	Lexicographic-436
a lifestyle that involves living for extended time on a boat while traveling from place to place for pleasure	yachting	Lexicographic-437
a group of stars that are connected together to form a figure or picture	configuration	Lexicographic-438
an alcoholic beverage made from the fermented juice of apples mainly	cider	Lexicographic-439
the sequence of reactions that converts glucose into pyruvate with the concomitant production of a relatively small amount of adenosine triphosphate	cycle	Lexicographic-440
a scientist who studies or practices physics	TARDIS	Lexicographic-441
an adherent of the religion of Islam	troll	Lexicographic-442
an interstellar cloud of dust	statute	Lexicographic-443
a strong framework that supports the body	bones	Lexicographic-444
a sort of hot spring or fumarole consisting of a pool of usually bubbling mud	toxin	Lexicographic-445
a molecule capable of slowing or preventing the oxidation of other molecules	antioxidant	Lexicographic-446
an Islamic leader	hadith	Lexicographic-447
a data structure consisting of a group of elements that are accessed by indexing	array	Lexicographic-448
a point of entry  to a space enclosed by walls	window	Lexicographic-449
a developing mammal or other viviparous vertebrate	baby	Lexicographic-450
a statement or confession of belief - usually religious belief - or faith often recited as part of a religious service	philosophy	Lexicographic-451
a written message from one person to another	post office	Lexicographic-452
the base unit of mass in the International System of Units	kilo	Lexicographic-453
any of several families of fishes having flattened bodies that swim along the sea floor on one side of the body with both eyes on the upper side	fish	Lexicographic-454
a person who creates or discovers a new method	writer	Lexicographic-455
an arbitrarily designated period of time	minute	Lexicographic-456
a formal accusation of having committed a criminal offense	lawyer	Lexicographic-457
members of an ancient and noble monastic order in the fictional Star Wars universe	sith	Lexicographic-458
a pointing device that functions by detecting two-dimensional motion relative to its supporting surface	trademark	Lexicographic-459
the complete loss of muscle function for one or more muscle groups	song	Lexicographic-460
a process of creating fabric from yarn or thread using a crochet hook	weaving	Lexicographic-461
its whole hereditary information  and is encoded in the DNA	RNA	Lexicographic-462
a contributor to the science of geology	mineralogy	Lexicographic-463
an organism that thrives in and may even require physically or geochemically extreme conditions that are detrimental to the majority of life on Earth	bacteria	Lexicographic-464
a composition to an English religious text sung in the context of an Anglican service	hymn	Lexicographic-465
the lands of the Western hemisphere or New World	Americas	Lexicographic-466
the official currency of the European Union	gold	Lexicographic-467
the world's longest exposed mountain range	Andes	Lexicographic-468
traditionally the land on which a college or university and related institutional buildings are situated	campus	Lexicographic-469
a profound state of unconsciousness	nirvana	Lexicographic-470
a legal personality	corporation	Lexicographic-471
any of numerous chiefly nocturnal insects	moth	Lexicographic-472
a scientist trained in the science of chemistry	biochemist	Lexicographic-473
a major north-flowing river in Africa	ship	Lexicographic-474
the land-based armed forces of a nation	army	Lexicographic-475
negative impact on students in overcrowded high schools	overcrowding	Search-476
sliding door replacement parts	replacement	Search-477
signs and symptoms when using methamphetamine	directives	Search-478
introductory paragraphs and thesis statements	introduction	Search-479
sellers protection when selling real estate without a broker	ncaa	Search-480
strengthening family relationships through reading	bonding	Search-481
the difference between digital camera memory cards	security	Search-482
strategies for effective communication in relationships	openness	Search-483
frozen dragon found in carpthian mountains	myth	Search-484
translating english sentences to spanish	translating	Search-485
adding a climbing vine to your front porch	porch	Search-486
walkthroughs and strategy guides for super smash bros. melee	strategies	Search-487
workouts to strengthen abdominal muscles	fractions	Search-488
the effects of medicare payments to healthcare organizations	uninsured	Search-489
computer program that does taxes for small corporations	TurboTax	Search-490
the best herbal product to boost the immune system	immune system	Search-491
pain in armpit and upper breast area when exhaling	pain	Search-492
removing moisture from refrigerator	dehydration	Search-493
recommended distances for furniture placement	meter	Search-494
physical therapy exercises for acute rotator cuff tears	exercises	Search-495
restrictions on foreign investments	collectables	Search-496
dangerous products that have been marketed	products	Search-497
pounds to us dollars	exchange	Search-498
the guy who calls me beautiful instead of hot	compliments	Search-499
approximate cost of golden retriever puppy	puppy	Search-500
