accelerate#v	inform%2:32:00::	inform#v#1	w2s-1
ceremony#n	presentation%1:04:01::	presentation#n#1	w2s-55
championship#n	triple_crown%1:26:01::	triple_crown#n#1	w2s-56
character#n	radical%1:18:01::	radical#n#3	w2s-57
characterize#v	differentiate%2:31:02::	differentiate#v#2	w2s-58
chloride#n	potassium_chloride%1:27:00::	potassium_chloride#n#1	w2s-59
chowtime#n	mealtime%1:28:00::	mealtime#n#1	w2s-60
chug#v	gulp%2:34:01::	gulp#v#1	w2s-61
circumcise#v	cut%2:35:00::	cut#v#1	w2s-62
circumflex#a	curved%3:00:00::	curved#a#1	w2s-63
cite#v	namedrop%2:32:00::	namedrop#v#1	w2s-64
civil#a	ordinary%3:00:00::	ordinary#a#1	w2s-65
clam#n	shellfish%1:13:00::	shellfish#n#1	w2s-66
class#n	airplane%1:06:00::	airplane#n#1	w2s-67
classify#v	restrict%2:41:00::	restrict#v#2	w2s-68
clear#a	distinct%3:00:00::	distinct#a#2	w2s-69
close#v	sail%2:38:00::	sail#v#3	w2s-70
clovered#a	grassy%3:00:00::	grassy#a#1	w2s-71
co-star#v	enter%2:36:00::	enter#v#6	w2s-72
coach#n	pied_piper%1:18:01::	pied_piper#n#1	w2s-73
cockblock#v	thwart%2:41:00::	thwart#v#1	w2s-74
code#v	write%2:36:10::	write#v#10	w2s-75
collect#v	backlog%2:30:00::	backlog#v#1	w2s-76
college#n	university%1:14:00::	university#n#1	w2s-77
colloquialism#n	canary%1:18:00::	canary#n#2	w2s-78
colonel#n	lieutenant_commander%1:18:00::	lieutenant_commander#n#1	w2s-79
colorful#a	fluorescent%5:00:00:colorful:00	fluorescent#a#2	w2s-80
commence#v	be%2:42:03::	be#v#1	w2s-81
commercial#a	noncommercial%3:00:00::	noncommercial#a#1	w2s-82
commission#n	education%1:04:00::	education#n#1	w2s-83
commons#n	coiner%1:18:02::	coiner#n#1	w2s-84
compensate#v	cancel%2:42:00::	cancel#v#2	w2s-85
competent#a	skilled%3:00:00::	skilled#a#1	w2s-86
competition#n	second_best%1:18:00::	second_best#n#1	w2s-87
complex#a	infinite%5:00:00:incalculable:00	infinite#a#3	w2s-88
concreteness#n	abstractness%1:07:00::	abstractness#n#1	w2s-89
condom#n	device%1:06:00::	device#n#1	w2s-90
consecutive#a	ordered%3:00:00::	ordered#a#1	w2s-91
conspiratory#a	designing%5:00:00:artful:00	designing#a#1	w2s-92
contact#n	happening%1:11:00::	happening#n#1	w2s-93
contain#v	enclose%2:42:00::	enclose#v#2	w2s-94
contemporary#a	modern%3:00:00::	modern#a#1	w2s-95
continue#v	mummify%2:42:00::	mummify#v#1	w2s-96
counter#a	positive%3:00:01::	positive#a#1	w2s-97
court#n	glass%1:23:00::	glass#n#3	w2s-98
crackberry#n	mobile_phone%1:06:00::	mobile_phone#n#1	w2s-99
cray#a	thirsty%5:00:00:desirous:00	thirsty#a#3	w2s-100
crime#n	transgression%1:04:00::	transgression#n#1	w2s-101
curate#v	alphabetize%2:30:00::	alphabetize#v#1	w2s-102
daily#a	periodic%3:00:00::	periodic#a#1	w2s-103
dative#a	roman%3:01:03::	Roman#a#3	w2s-104
day#n	occasion%1:26:00::	occasion#n#5	w2s-105
dealer#n	merchant%1:18:00::	merchant#n#1	w2s-106
decatur#n	naval_officer%1:18:00::	naval_officer#n#1	w2s-107
deed#v	will%2:40:00::	will#v#3	w2s-108
defeat#v	overtrump%2:33:00::	overtrump#v#1	w2s-109
dependent#a	dominated%5:00:00:submissive:00	dominated#a#2	w2s-110
depict#v	outline%2:32:00::	outline#v#1	w2s-111
design#n	play%1:04:05::	play#n#3	w2s-112
develop#v	proceed%2:30:00::	proceed#v#4	w2s-113
development#n	transpiration%1:22:00::	transpiration#n#3	w2s-114
differ#v	disavow%2:32:00::	disavow#v#1	w2s-115
difficult#a	stern%5:00:00:demanding:01	stern#a#3	w2s-116
direct#v	misdirect%2:32:00::	misdirect#v#3	w2s-117
direction#n	driving%1:04:00::	driving#n#2	w2s-118
directional#a	guiding%5:00:00:leading:00	guiding#a#1	w2s-119
distinct#a	clear%3:00:00::	clear#a#1	w2s-120
distribute#v	coexist%2:42:00::	coexist#v#2	w2s-121
divide#v	reproduce%2:29:00::	reproduce#v#2	w2s-122
division#n	branching%1:04:00::	branching#n#1	w2s-123
download#n	car%1:06:00::	car#n#1	w2s-124
dub#v	emblazon%2:36:00::	emblazon#v#2	w2s-125
early#a	synthetic%3:00:02::	synthetic#a#3	w2s-126
eat#v	destroy%2:35:00::	destroy#v#2	w2s-127
education#n	teaching%1:04:00::	teaching#n#1	w2s-128
effective#a	operant%5:00:00:operative:00	operant#a#1	w2s-129
election#n	runoff%1:04:00::	runoff#n#2	w2s-130
emu#n	elephant_bird%1:05:00::	elephant_bird#n#1	w2s-131
enter#v	appear%2:36:00::	appear#v#6	w2s-132
entire#a	whole%3:00:00::	whole#a#1	w2s-133
equation#n	mathematics%1:09:00::	mathematics#n#1	w2s-134
escape#v	break_out%2:38:00::	break_out#v#3	w2s-135
euphemism#n	wetting%1:22:00::	wetting#n#2	w2s-136
european#a	german%3:01:00::	German#a#1	w2s-137
eurythmic#a	rhythmic%3:00:00::	rhythmic#a#1	w2s-138
example#n	prototype%1:09:00::	prototype#n#1	w2s-139
expansion#n	elaboration%1:04:01::	elaboration#n#1	w2s-140
expect#v	personify%2:31:00::	personify#v#3	w2s-141
explanation#n	interpretation%1:09:00::	interpretation#n#4	w2s-142
expression#n	effusion%1:10:00::	effusion#n#1	w2s-143
extensive#a	general%3:00:00::	general#a#1	w2s-144
face#v	canvas%2:35:00::	canvas#v#3	w2s-145
farmer#n	modeller%1:18:00::	modeller#n#1	w2s-146
fat#n	quantity%1:07:00::	quantity#n#2	w2s-147
father#n	dad%1:18:00::	dad#n#1	w2s-148
favorite#a	colloquial%5:00:01:informal:02	colloquial#a#1	w2s-149
fear#v	prize%2:31:00::	prize#v#3	w2s-150
fed#n	bank_of_japan%1:14:00::	Bank_of_Japan#n#1	w2s-151
federal#a	minimalist%5:00:00:moderate:00	minimalist#a#2	w2s-152
feel#v	want%2:34:00::	want#v#2	w2s-153
female#a	feminine%3:00:01::	feminine#a#1	w2s-154
festival#n	bathing%1:04:00::	bathing#n#1	w2s-155
film#n	final_cut%1:10:00::	final_cut#n#1	w2s-156
fix#v	repay%2:40:01::	repay#v#2	w2s-157
flow#v	exist%2:42:00::	exist#v#1	w2s-158
foodgasm#n	fulfillment%1:12:00::	fulfillment#n#1	w2s-159
football#n	hot_potato%1:26:00::	hot_potato#n#1	w2s-160
force#n	general_delivery%1:14:00::	general_delivery#n#1	w2s-161
formal#a	full-dress%5:00:02:formal:01	full-dress#a#1	w2s-162
fourth#a	fifth%5:00:00:ordinal:00	fifth#a#1	w2s-163
france#n	meuse%1:17:00::	Meuse#n#1	w2s-164
franchise#n	baseball%1:04:00::	baseball#n#1	w2s-165
freeze#v	solidify%2:30:00::	solidify#v#2	w2s-166
friend#n	vantage%1:07:00::	vantage#n#2	w2s-167
frighten#v	chase_away%2:38:00::	chase_away#v#1	w2s-168
frontman#n	group%1:03:00::	group#n#1	w2s-169
fry#n	blade%1:18:00::	blade#n#2	w2s-170
full#a	graduate%5:00:00:high:02	graduate#a#1	w2s-171
funding#n	natural_resource%1:21:00::	natural_resource#n#1	w2s-172
future#a	in%5:00:00:incoming:00	in#a#2	w2s-173
game#n	pastime%1:04:00::	pastime#n#1	w2s-174
general#a	away%5:00:00:inaccurate:00	away#a#3	w2s-175
generalize#v	particularize%2:32:00::	particularize#v#1	w2s-176
gentle#a	sloping%5:00:00:gradual:02	sloping#a#2	w2s-177
ghetto#a	cheap%5:00:00:inferior:02	cheap#a#3	w2s-178
goalkeeper#n	center%1:04:03::	center#n#16	w2s-179
graceful#a	friendly%3:00:01::	friendly#a#1	w2s-180
graduation#n	baccalaureate%1:10:01::	baccalaureate#n#1	w2s-181
grammar#n	passive%3:00:02::	passive#a#3	w2s-182
greek#a	cypriot%3:01:00::	Cypriot#a#1	w2s-183
greek#n	spartan%1:18:00::	Spartan#n#1	w2s-184
green#a	fresh%3:00:01::	fresh#a#1	w2s-185
grey#a	neutral%3:00:00::	neutral#a#5	w2s-186
ground#v	mentor%2:32:00::	mentor#v#1	w2s-187
group#n	musical_group%1:14:00::	musical_group#n#1	w2s-188
grow#v	hypertrophy%2:29:00::	hypertrophy#v#1	w2s-189
guest#n	no-show%1:18:01::	no-show#n#1	w2s-190
half-ass#v	star%2:36:00::	star#v#2	w2s-191
halfway#n	midpoint%1:15:00::	midpoint#n#1	w2s-192
happen#v	anticipate%2:30:00::	anticipate#v#6	w2s-193
harbor#v	supply%2:40:00::	supply#v#1	w2s-194
harmful#a	disadvantageous%3:00:00::	disadvantageous#a#1	w2s-195
heavy#a	black%5:00:00:evil:00	black#a#5	w2s-196
height#n	lowness%1:07:00::	lowness#n#3	w2s-197
hellacious#a	weightless%3:00:00::	weightless#a#1	w2s-198
help#v	accommodate%2:34:00::	accommodate#v#3	w2s-199
hispanic#n	african-american%1:18:00::	African-American#n#1	w2s-200
historical#a	synchronic%3:00:00::	synchronic#a#2	w2s-201
hour#n	piece%1:07:00::	piece#n#9	w2s-202
house#n	dance%1:11:00::	dance#n#4	w2s-203
human#a	nonhuman%3:00:00::	nonhuman#a#1	w2s-204
hurdle#n	obstacle%1:09:00::	obstacle#n#1	w2s-205
illusion#n	representation%1:09:00::	representation#n#1	w2s-206
impact#n	consequence%1:19:00::	consequence#n#1	w2s-207
impact#n	consequence%1:19:00::	consequence#n#1	w2s-208
inaugural#a	starting%5:00:00:opening:00	starting#a#2	w2s-209
incompetent#a	inefficient%3:00:00::	inefficient#a#1	w2s-210
indicate#v	report%2:32:00::	report#v#1	w2s-211
induct#v	instal%2:41:00::	instal#v#2	w2s-212
infeed#n	supplying%1:04:00::	supplying#n#1	w2s-213
infer#v	surmise%2:31:00::	surmise#v#1	w2s-214
innovative#a	first%3:00:00::	first#a#1	w2s-215
install#v	consecrate%2:41:00::	consecrate#v#1	w2s-216
instigate#v	provoke%2:32:00::	provoke#v#3	w2s-217
interface#v	interact%2:41:00::	interact#v#1	w2s-218
internal#a	wrong%5:00:00:inside:00	wrong#a#7	w2s-219
interpret#v	strike%2:31:00::	strike#v#21	w2s-220
investment#n	promotion%1:04:00::	promotion#n#2	w2s-221
ireland#n	european_union%1:14:00::	European_Union#n#1	w2s-222
island#n	zone%1:15:00::	zone#n#1	w2s-223
jersey#n	turtleneck%1:06:00::	turtleneck#n#1	w2s-224
john#n	customer%1:18:00::	customer#n#1	w2s-225
joint#a	shared%3:00:00::	shared#a#1	w2s-226
juice#n	oxytocin%1:08:00::	oxytocin#n#1	w2s-227
june#n	mid-june%1:28:00::	mid-June#n#1	w2s-228
kegger#n	bridesmaid%1:18:00::	bridesmaid#n#1	w2s-229
kick#n	race%1:11:00::	race#n#2	w2s-230
kickbox#v	fight%2:33:00::	fight#v#1	w2s-231
king#n	chess%1:04:00::	chess#n#2	w2s-232
knowledgeable#a	experienced%3:00:00::	experienced#a#1	w2s-233
korean#n	altaic%1:10:00::	Altaic#n#2	w2s-234
ladyboner#n	cybersex%1:26:00::	cybersex#n#1	w2s-235
leader#n	feature%1:06:00::	feature#n#6	w2s-236
leg#n	meat%1:13:01::	meat#n#1	w2s-237
legal#a	downfield%5:00:00:down:00	downfield#a#1	w2s-238
level#n	standard_of_living%1:26:00::	standard_of_living#n#1	w2s-239
lie#v	sparkle%2:30:01::	sparkle#v#2	w2s-240
light#n	public_knowledge%1:09:00::	public_knowledge#n#1	w2s-241
lighting#n	illumination%1:26:00::	illumination#n#2	w2s-242
limit#v	abstain%2:34:00::	abstain#v#2	w2s-243
limited#a	dependent%5:00:00:conditional:00	dependent#a#2	w2s-244
line#n	queue%1:14:00::	queue#n#1	w2s-245
lineman#n	center%1:04:02::	center#n#17	w2s-246
linguistics#n	syntax%1:09:01::	syntax#n#1	w2s-247
live#a	active%3:00:04::	active#a#13	w2s-248
live#v	occupy%2:42:00::	occupy#v#2	w2s-249
locate#v	pinpoint%2:40:00::	pinpoint#v#1	w2s-250
london#n	ayn_rand%1:18:00::	Ayn_Rand#n#1	w2s-251
look#v	hunt%2:33:02::	hunt#v#7	w2s-252
loose#a	silty%5:00:00:loose:02	silty#a#1	w2s-253
low-budget#a	cheap%3:00:00::	cheap#a#1	w2s-254
loyal#a	true-blue%5:00:00:loyal:00	true-blue#a#1	w2s-255
mack#v	hold_forth%2:32:00::	hold_forth#v#1	w2s-256
magazine#n	camera%1:06:00::	camera#n#1	w2s-257
main#n	bulk%1:07:02::	bulk#n#1	w2s-258
mainland#n	land%1:17:00::	land#n#4	w2s-259
maintain#v	photograph%2:32:00::	photograph#v#1	w2s-260
man#n	male%1:18:00::	male#n#2	w2s-261
manage#v	dispose_of%2:41:00::	dispose_of#v#1	w2s-262
map#n	plat%1:06:00::	plat#n#1	w2s-263
mark#n	symbol%1:10:00::	symbol#n#1	w2s-264
maroon#n	fool%1:18:00::	fool#n#1	w2s-265
married#a	compatible%3:00:01::	compatible#a#1	w2s-266
marry#v	meld%2:30:00::	meld#v#3	w2s-267
martial#a	expeditionary%5:00:00:military:01	expeditionary#a#1	w2s-268
massachusetts#n	boston%1:15:00::	Boston#n#1	w2s-269
maya#n	indian%1:18:00::	Indian#n#1	w2s-270
mean#v	entail%2:42:00::	entail#v#2	w2s-271
mechanical#a	metallic%3:00:00::	metallic#a#1	w2s-272
median#a	anatomic%3:01:00::	anatomic#a#1	w2s-273
mediocre#a	everyday%5:00:00:ordinary:00	everyday#a#1	w2s-274
meet#v	stop%2:38:02::	stop#v#4	w2s-275
mention#v	react%2:31:00::	react#v#1	w2s-276
metre#n	metric_linear_unit%1:23:00::	metric_linear_unit#n#1	w2s-277
middle#n	fornix%1:08:01::	fornix#n#1	w2s-278
midfielder#n	soccer%1:04:00::	soccer#n#1	w2s-279
mile#n	miler%1:18:00::	miler#n#2	w2s-280
miniseries#n	tv%1:10:00::	TV#n#1	w2s-281
minister#n	public_service%1:04:00::	public_service#n#2	w2s-282
modern#a	progressive%3:00:01::	progressive#a#1	w2s-283
mojo#n	charisma%1:07:00::	charisma#n#1	w2s-284
motorsport#n	racing%1:04:00::	racing#n#1	w2s-285
mouthbreathing#a	dirty%3:00:01::	dirty#a#1	w2s-286
municipality#n	volcano%1:17:01::	volcano#n#1	w2s-287
national#a	overt%3:00:00::	overt#a#1	w2s-288
need#n	poverty%1:26:00::	poverty#n#1	w2s-289
neighbourhood#n	hood%1:14:00::	hood#n#3	w2s-290
new_testament#n	balthasar%1:18:00::	Balthasar#n#1	w2s-291
niche#n	place%1:26:00::	place#n#10	w2s-292
normal#a	gaussian%3:01:00::	Gaussian#a#1	w2s-293
north#n	northeast_by_north%1:24:00::	northeast_by_north#n#1	w2s-294
notorious#a	discreditable%5:00:00:disreputable:00	discreditable#a#1	w2s-295
numerous#a	many%3:00:00::	many#a#1	w2s-296
nurture#v	foster%2:41:01::	foster#v#2	w2s-297
official#n	paper-pusher%1:18:00::	paper-pusher#n#1	w2s-298
old#a	tiresome%5:00:00:uninteresting:00	tiresome#a#1	w2s-299
open#a	unconstricted%3:00:00::	unconstricted#a#1	w2s-300
operate#v	soup%2:29:00::	soup#v#1	w2s-301
orange#n	chrome_yellow%1:27:00::	chrome_yellow#n#1	w2s-302
organisation#n	bureaucracy%1:14:02::	bureaucracy#n#3	w2s-303
organise#v	lay_out%2:31:00::	lay_out#v#5	w2s-304
overturn#v	capsize%2:38:00::	capsize#v#1	w2s-305
ownership#n	storage%1:04:01::	storage#n#1	w2s-306
pacific#n	japan%1:15:01::	Japan#n#1	w2s-307
pack#v	brim%2:42:00::	brim#v#1	w2s-308
pair#v	bring_together%2:35:01::	bring_together#v#1	w2s-309
paris#n	parisienne%1:18:00::	Parisienne#n#1	w2s-310
partial#a	incomplete%3:00:00::	incomplete#a#1	w2s-311
party#n	law%1:14:00::	law#n#1	w2s-312
passage#n	structure%1:08:00::	structure#n#4	w2s-313
pear#n	fruit_tree%1:20:00::	fruit_tree#n#1	w2s-314
period#n	ice_hockey%1:04:00::	ice_hockey#n#1	w2s-315
permanent#a	firm%5:00:00:steady:00	firm#a#5	w2s-316
personnel#n	patrol%1:14:01::	patrol#n#3	w2s-317
photography#n	redevelop%2:39:00::	redevelop#v#1	w2s-318
pick#n	basketball_play%1:04:00::	basketball_play#n#1	w2s-319
pitch#n	option%1:21:00::	option#n#1	w2s-320
place#n	focus%1:26:00::	focus#n#4	w2s-321
place#v	aim%2:33:00::	aim#v#1	w2s-322
plan#n	configuration%1:09:00::	configuration#n#1	w2s-323
plot_hole#n	plot%1:09:00::	plot#n#1	w2s-324
podcast#n	broadcast%1:10:01::	broadcast#n#2	w2s-325
point#n	barrel%1:06:01::	barrel#n#1	w2s-326
pooped#a	burned-out%5:00:00:tired:00	burned-out#a#1	w2s-327
population#n	integer%1:23:00::	integer#n#1	w2s-328
postpone#v	reschedule%2:32:00::	reschedule#v#1	w2s-329
postseason#n	final%1:11:00::	final#n#1	w2s-330
predetermine#v	handicap%2:33:01::	handicap#v#2	w2s-331
president#n	corporate_executive%1:18:00::	corporate_executive#n#1	w2s-332
previous#a	anterograde%3:00:00::	anterograde#a#1	w2s-333
primary#a	fundamental%5:00:00:basic:00	fundamental#a#2	w2s-334
private#a	colored%3:00:00::	colored#a#1	w2s-335
process#n	learning%1:09:00::	learning#n#1	w2s-336
production#n	run%1:23:00::	run#n#10	w2s-337
proofread#v	read%2:31:00::	read#v#1	w2s-338
provide#v	contend%2:33:01::	contend#v#6	w2s-339
provisional#a	limited%5:00:00:qualified:02	limited#a#4	w2s-340
public#a	edible%3:00:00::	edible#a#1	w2s-341
publication#n	communication%1:03:00::	communication#n#2	w2s-342
publish#v	wish%2:32:02::	wish#v#3	w2s-343
push#v	approach%2:38:00::	approach#v#1	w2s-344
quarter#n	half_dollar%1:21:00::	half_dollar#n#1	w2s-345
quebec#n	returning_officer%1:18:00::	returning_officer#n#1	w2s-346
race#n	species%1:09:00::	species#n#2	w2s-347
railway#n	journey%1:04:00::	journey#n#1	w2s-348
rainbow#a	beadlike%5:00:00:bright:00	beadlike#a#1	w2s-349
reappear#v	resurface%2:30:00::	resurface#v#3	w2s-350
rebrand#v	brand%2:35:00::	brand#v#3	w2s-351
receive#v	scrap%2:30:00::	scrap#v#3	w2s-352
recent#a	former%5:00:02:past:00	former#a#3	w2s-353
rectangular#a	angular%3:00:00::	angular#a#2	w2s-354
red#a	political%3:00:00::	political#a#1	w2s-355
redshirt#v	save%2:41:05::	save#v#8	w2s-356
reestablish#v	change%2:30:01::	change#v#1	w2s-357
refer#v	address%2:41:08::	address#v#6	w2s-358
reform#v	bind%2:30:09::	bind#v#9	w2s-359
refuel#v	rim%2:40:00::	rim#v#2	w2s-360
region#n	quick%1:08:00::	quick#n#1	w2s-361
registration#n	matriculation%1:04:00::	matriculation#n#1	w2s-362
regular#a	symmetrical%3:00:00::	symmetrical#a#1	w2s-363
relegate#v	test%2:41:00::	test#v#1	w2s-364
reliable#a	trustworthy%3:00:00::	trustworthy#a#1	w2s-365
relocate#v	brandish%2:35:00::	brandish#v#1	w2s-366
remaster#v	transform%2:30:00::	transform#v#2	w2s-367
remix#n	mixture%1:27:00::	mixture#n#1	w2s-368
remote#a	faraway%5:00:00:far:00	faraway#a#1	w2s-369
report#n	united_kingdom%1:15:00::	United_Kingdom#n#1	w2s-370
represent#v	sugarcoat%2:32:00::	sugarcoat#v#2	w2s-371
reputation#n	character%1:26:00::	character#n#6	w2s-372
requirement#n	want%1:17:00::	want#n#3	w2s-373
residential#a	nonresidential%3:00:00::	nonresidential#a#1	w2s-374
retreat#v	back_up%2:38:00::	back_up#v#2	w2s-375
return#n	admission%1:04:00::	admission#n#1	w2s-376
return#v	retrace%2:38:00::	retrace#v#1	w2s-377
rich#a	abundant%3:00:00::	abundant#a#1	w2s-378
righteous#a	awesome%5:00:00:impressive:00	awesome#a#1	w2s-379
ring#n	saturn%1:17:00::	Saturn#n#1	w2s-380
rock#n	snowflake%1:19:00::	snowflake#n#1	w2s-381
rock#v	pan_out%2:41:00::	pan_out#v#1	w2s-382
romance#n	fruitlessness%1:07:00::	fruitlessness#n#2	w2s-383
roofie#n	alprazolam%1:06:00::	alprazolam#n#1	w2s-384
room#n	basket%1:06:00::	basket#n#1	w2s-385
root#n	chord%1:10:00::	chord#n#2	w2s-386
rugby#n	united_kingdom%1:15:00::	United_Kingdom#n#1	w2s-387
rumour#n	informing%1:10:00::	informing#n#2	w2s-388
rush#n	doctor%1:18:00::	doctor#n#1	w2s-389
sailable#a	gusty%5:00:00:stormy:00	gusty#a#1	w2s-390
say#v	express%2:32:00::	express#v#2	w2s-391
score#v	lease%2:40:00::	lease#v#4	w2s-392
see#v	visit%2:41:00::	visit#v#3	w2s-393
send#v	dispatch%2:38:00::	dispatch#v#1	w2s-394
sentencing#n	criminal_court%1:14:00::	criminal_court#n#1	w2s-395
severe#a	ascetic%5:00:00:abstemious:00	ascetic#a#2	w2s-396
sex#n	sexual_intercourse%1:04:00::	sexual_intercourse#n#1	w2s-397
shank#n	khukuri%1:06:00::	khukuri#n#1	w2s-398
share#n	stock%1:21:02::	stock#n#4	w2s-399
shark#n	california%1:15:00::	California#n#1	w2s-400
shine#n	inclination%1:12:00::	inclination#n#5	w2s-401
shoot#v	throw%2:36:02::	throw#v#7	w2s-402
short#a	unmindful%3:00:00::	unmindful#a#1	w2s-403
show#n	tv_program%1:10:00::	TV_program#n#1	w2s-404
showcase#v	highlight%2:30:00::	highlight#v#1	w2s-405
side#n	blind_side%1:15:00::	blind_side#n#1	w2s-406
simulcast#v	digress%2:32:00::	digress#v#1	w2s-407
single#a	asunder%5:00:00:separate:00	asunder#a#1	w2s-408
size#n	distance%1:07:01::	distance#n#3	w2s-409
skillful#a	technical%5:00:01:skilled:00	technical#a#4	w2s-410
sleep#v	lie_dormant%2:41:00::	lie_dormant#v#1	w2s-411
son#n	brother%1:18:02::	brother#n#2	w2s-412
source#n	maker%1:18:00::	maker#n#1	w2s-413
south#n	bilocation%1:15:00::	bilocation#n#1	w2s-414
southern#a	northeast%5:00:01:north:00	northeast#a#1	w2s-415
sovereignty#n	authority%1:07:00::	authority#n#1	w2s-416
specialise#v	buffer%2:30:00::	buffer#v#1	w2s-417
square#n	shape%1:03:00::	shape#n#2	w2s-418
stacked#a	afraid%3:00:00::	afraid#a#1	w2s-419
staff#n	crook%1:06:00::	crook#n#3	w2s-420
stage#n	platform%1:06:00::	platform#n#1	w2s-421
standout#n	talent%1:18:00::	talent#n#2	w2s-422
starter#n	crank_handle%1:06:00::	crank_handle#n#1	w2s-423
statehood#n	state_of_matter%1:26:00::	state_of_matter#n#1	w2s-424
station#n	station_of_the_cross%1:06:00::	Station_of_the_Cross#n#1	w2s-425
steam#n	enragement%1:12:00::	enragement#n#1	w2s-426
storage#n	non-volatile_storage%1:06:00::	non-volatile_storage#n#1	w2s-427
storytelling#n	tourism%1:04:00::	tourism#n#1	w2s-428
street#n	name%1:10:00::	name#n#1	w2s-429
study#v	chew_over%2:31:00::	chew_over#v#1	w2s-430
style#n	kind%1:09:00::	kind#n#1	w2s-431
success#n	celebrant%1:18:01::	celebrant#n#1	w2s-432
superhero#n	super%1:18:00::	super#n#1	w2s-433
surface#n	skin%1:06:01::	skin#n#2	w2s-434
system#n	live_body%1:08:00::	live_body#n#1	w2s-435
talk#v	radio%2:32:00::	radio#v#1	w2s-436
tall#a	small%3:00:00::	small#a#1	w2s-437
tandem#a	subsequent%3:00:00::	subsequent#a#1	w2s-438
team#n	relay%1:14:01::	relay#n#3	w2s-439
tee#n	site%1:15:00::	site#n#1	w2s-440
tend#v	wait%2:41:00::	wait#v#4	w2s-441
tensible#a	ductile%5:00:00:formed:00	ductile#a#2	w2s-442
terminal#a	deliverable%3:01:00::	deliverable#a#1	w2s-443
territory#n	area%1:09:00::	area#n#2	w2s-444
theatre#n	movie_house%1:06:00::	movie_house#n#1	w2s-445
think#v	be%2:42:00::	be#v#4	w2s-446
three#n	digit%1:23:00::	digit#n#1	w2s-447
title#n	name%1:10:00::	name#n#1	w2s-448
tolerance#n	indomitability%1:07:00::	indomitability#n#1	w2s-449
total#a	whole%3:00:00::	whole#a#1	w2s-450
tough#a	rugged%3:00:00::	rugged#a#1	w2s-451
track#n	tetralogy%1:10:00::	tetralogy#n#1	w2s-452
