MWA_Id	MWA_Word
[[4, 5], [1, 4], [3, 2]]	[['persons', 'person'], ['notable', 'notable'], ['famous', 'well-known']]
[[9, 7], [10, 8], [8, 6]]	[['or', 'or'], ['machine', 'machine'], ['device', 'apparatus']]
[[4, 4], [5, 5], [1, 1]]	[['the', 'the'], ['place', 'place'], ['find', 'determine']]
[[9, 13], [11, 11], [6, 1]]	[['illegal', 'illegal'], ['deceitful', 'deceitful'], ['activities', 'act']]
[[2, 2], [1, 1]]	[['equivalent', 'tantamount'], ['be', 'be']]
[[2, 1], [3, 2]]	[['cause', 'cause'], ['to', 'to']]
[[2, 7]]	[['money', 'money']]
[[3, 5]]	[['emotional', 'emotion']]
[[1, 1], [2, 2]]	[['go', 'go'], ['back', 'back']]
[[2, 3], [3, 4], [6, 14], [7, 15], [4, 7], [1, 6], [5, 8]]	[['of', 'of'], ['people', 'people'], ['their', 'their'], ['homeland', 'homeland'], ['distant', 'far'], ['settlement', 'settle'], ['from', 'from']]
[[16, 19], [13, 12], [15, 13], [5, 6]]	[['.', '.'], ['truth', 'true'], ['something', 'something'], ['exhibition', 'showing']]
[]	[]
[[2, 5]]	[['project', 'intended']]
[[3, 2], [4, 3], [1, 1]]	[['system', 'system'], ['of', 'of'], ['a', 'a']]
[]	[]
[[1, 3], [2, 4], [3, 9]]	[['have', 'have'], ['a', 'a'], ['strong', 'strongly']]
[[9, 8]]	[['word', 'words']]
[[1, 2], [4, 9], [6, 4], [2, 8]]	[['facility', 'facility'], ['storage', 'storage'], ['things', 'things'], ['for', 'for']]
[[6, 4]]	[['noise', 'noise']]
[[13, 8], [3, 6], [4, 7]]	[['.', '.'], ['contact', 'contact'], ['with', 'with']]
[[1, 1], [5, 6], [11, 3], [3, 4], [6, 7]]	[['find', 'get'], ['informed', 'aware'], ['understand', 'know'], ['or', 'or'], ['of', 'of']]
[[2, 4], [3, 5], [1, 3]]	[['of', 'of'], ['a', 'a'], ['head', 'executive']]
[[5, 29], [1, 1], [2, 2], [3, 3], [4, 4]]	[['.', '.'], ['Touch', 'touch'], ['with', 'with'], ['the', 'the'], ['lips', 'lips']]
[[4, 2], [6, 5]]	[['force', 'force'], ['drawing', 'pulling']]
[[6, 3], [5, 1]]	[['decrease', 'decrease'], ['a', 'a']]
[[10, 6]]	[['grade', 'quality']]
[]	[]
[[3, 1], [4, 2]]	[['suffer', 'suffer'], ['failure', 'failure']]
[[2, 5]]	[['abundance', 'abundance']]
[[8, 14], [7, 12]]	[['.', '.'], ['citation', 'quoted']]
[[6, 16]]	[['.', '.']]
[]	[]
[]	[]
[[9, 13], [4, 3], [7, 12]]	[['.', '.'], ['admission', 'admitting'], ['religious', 'church']]
[[6, 13]]	[['greeting', 'regard']]
[]	[]
[[2, 8], [4, 9]]	[['one', 'one'], ['another', 'another']]
[[1, 17], [2, 18], [3, 19], [6, 1], [7, 2], [8, 3]]	[['a', 'a'], ['full', 'full'], ['stop', 'stop'], ['a', 'a'], ['punctuation', 'punctuation'], ['mark', 'mark']]
[[1, 1], [4, 2]]	[['something', 'something'], ['craved', 'craved']]
[[3, 2], [2, 1]]	[['rapidly', 'rapidly'], ['grow', 'increase']]
[[16, 4], [4, 2], [7, 3]]	[['.', '.'], ['high-pitched', 'high-pitched'], ['voice', 'sounds']]
[[1, 5], [2, 6]]	[['domesticated', 'domesticated'], ['animals', 'animals']]
[[2, 2]]	[['discipline', 'discipline']]
[[1, 1], [2, 2], [3, 3], [4, 4]]	[['a', 'a'], ['person', 'person'], ['who', 'who'], ['is', 'is']]
[[1, 2], [2, 5]]	[['personnel', 'personnel'], ['casualty', 'death']]
[[1, 6], [2, 7], [3, 8]]	[['escape', 'escape'], ['or', 'or'], ['avoid', 'avoid']]
[[3, 2], [1, 1], [7, 14]]	[['loss', 'loss'], ['a', 'a'], ['value', 'value']]
[[5, 4], [1, 1], [4, 7]]	[['decrease', 'decrease'], ['a', 'a'], ['quantitative', 'quantity']]
[[17, 8], [1, 1], [2, 2], [3, 3], [11, 4], [12, 5]]	[['.', '.'], ['Change', 'change'], ['the', 'the'], ['key', 'key'], ['of', 'of'], [',', ',']]
[[3, 2], [1, 1]]	[['message', 'message'], ['a', 'a']]
[[5, 12], [8, 11]]	[['stop', 'shut'], ['bring', 'make']]
[[4, 2], [5, 3]]	[['the', 'the'], ['surface', 'surface']]
[[10, 23], [5, 12], [6, 13], [7, 14], [3, 3], [1, 1]]	[['.', '.'], ['the', 'the'], ['top', 'top'], ['of', 'of'], ['structure', 'structure'], ['A', 'a']]
[[3, 2], [4, 3], [5, 4], [1, 1]]	[['list', 'list'], ['of', 'of'], ['particular', 'particulars'], ['a', 'a']]
[[3, 3], [4, 4], [8, 2], [1, 1]]	[['mark', 'mark'], ['used', 'used'], ['diacritic', 'diacritical'], ['a', 'a']]
[[3, 3], [4, 4], [5, 5]]	[['of', 'of'], ['believing', 'believing'], ['in', 'in']]
[[1, 1], [2, 2], [6, 4], [5, 3]]	[['an', 'an'], ['attempt', 'attempt'], ['achieve', 'get'], ['to', 'to']]
[]	[]
[[1, 1]]	[['clean', 'clean']]
[]	[]
[[1, 1], [2, 2], [7, 10], [8, 11], [4, 12], [9, 7], [6, 9], [5, 8]]	[['point', 'point'], ['or', 'or'], [',', ','], ['or', 'or'], ['object', 'objects'], ['blow', 'blows'], ['weapon', 'weapons'], [',', ',']]
[[5, 1]]	[['put', 'give']]
[[16, 3], [15, 2]]	[['.', '.'], ['lacework', 'lacework']]
[[7, 14], [8, 15]]	[['holding', 'hold'], ['flowers', 'flowers']]
[[1, 1]]	[['preserve', 'preserve']]
[[1, 4], [2, 5], [3, 2]]	[['an', 'an'], ['open', 'open'], ['motorboat', 'motorboat']]
[[1, 1], [2, 2], [3, 3]]	[['a', 'a'], ['process', 'process'], ['of', 'of']]
[[4, 13], [1, 9], [2, 10], [3, 11]]	[['.', '.'], ['Make', 'make'], ['sure', 'certain'], ['of', 'of']]
[[5, 2], [6, 5], [1, 1]]	[['something', 'something'], ['needed', 'necessary'], ['supply', 'give']]
[[6, 5], [4, 2]]	[['shaving', 'shaving'], ['instrument', 'tool']]
[[1, 1]]	[['learn', 'learn']]
[[8, 3], [7, 2]]	[['provide', 'extend'], ['or', 'or']]
[[11, 4], [10, 3]]	[['something', 'something'], ['do', 'doing']]
[[5, 15], [1, 1], [2, 2], [3, 3], [4, 6]]	[['.', '.'], ['Something', 'something'], ['that', 'that'], ['provides', 'provides'], ['advice', 'advice']]
[[10, 12], [8, 5], [7, 3]]	[['.', '.'], ['someone', 'person'], ['of', 'of']]
[[3, 5], [1, 1]]	[['entity', 'entity'], ['a', 'a']]
[[8, 1]]	[['effect', 'make']]
[[2, 2], [1, 1], [6, 7]]	[['judgement', 'judgment'], ['a', 'a'], ['something', 'something']]
[[3, 5]]	[['whip', 'whip']]
[[3, 1], [7, 5]]	[['form', 'shape'], ['according', 'give']]
[[7, 8], [1, 7]]	[['.', '.'], ['Germinate', 'germinate']]
[]	[]
[[3, 2], [9, 5]]	[['vertical', 'vertical'], ['numbers', 'numbers']]
[]	[]
[[4, 5], [3, 3]]	[['someone', 'person'], ['of', 'of']]
[[2, 6], [4, 4]]	[['device', 'devices'], ['control', 'controls']]
[[7, 13], [6, 12], [3, 10], [1, 3], [2, 4]]	[['.', '.'], ['whole', 'whole'], ['aesthetic', 'aesthetically'], ['Form', 'form'], ['an', 'a']]
[[2, 5], [4, 1]]	[['legs', 'leg'], ['informal', 'informal']]
[[3, 3], [1, 2]]	[['objective', 'intended'], ['goal', 'goal']]
[]	[]
[]	[]
[[3, 4], [2, 3]]	[['attains', 'accomplishes'], ['that', 'that']]
[[1, 4], [4, 1], [5, 11]]	[['line', 'line'], ['make', 'place'], ['parallel', 'parallel']]
[[4, 14], [5, 15], [8, 7], [7, 6]]	[['that', 'that'], ['is', 'is'], ['cover', 'covering'], ['fabric', 'cloth']]
[[2, 13]]	[['frame', 'frame']]
[[1, 1], [2, 2], [3, 3], [5, 5], [10, 10]]	[['a', 'a'], ['measure', 'measure'], ['of', 'of'], ['likelihood', 'likely'], ['event', 'event']]
[[9, 12], [5, 4], [6, 5], [1, 1], [2, 2]]	[['.', '.'], ['finds', 'finds'], ['fault', 'fault'], ['Anyone', 'someone'], ['who', 'who']]
[]	[]
[[1, 1]]	[['observe', 'observe']]
[[7, 4]]	[['deter', 'deter']]
[[7, 4]]	[['protrude', 'project']]
[[4, 2], [5, 3], [6, 4]]	[['the', 'the'], ['host', 'host'], ['of', 'of']]
[[6, 1], [7, 2]]	[['make', 'make'], ['invalid', 'invalid']]
[]	[]
[[1, 14]]	[['per', 'per']]
[[1, 1], [2, 2]]	[['an', 'an'], ['approximate', 'approximate']]
[[8, 9], [2, 4], [3, 5]]	[['.', '.'], ['act', 'fact'], ['of', 'of']]
[[2, 2], [1, 1]]	[['physical', 'natural'], ['a', 'a']]
[[3, 3], [1, 1], [6, 14], [2, 2], [4, 4], [7, 15]]	[['calculate', 'estimate'], ['estimate', 'evaluate'], ['value', 'significance'], ['or', 'or'], ['the', 'the'], ['of', 'of']]
[[2, 2]]	[['portion', 'part']]
[[2, 22], [3, 23], [4, 24], [1, 20]]	[['most', 'most'], ['abundant', 'abundant'], ['element', 'element'], ['lightest', 'lightest']]
[]	[]
[[1, 1]]	[['move', 'move']]
[[4, 3], [5, 4], [3, 2], [1, 1]]	[['of', 'of'], ['time', 'time'], ['span', 'period'], ['a', 'a']]
[[1, 1], [7, 3], [4, 2]]	[['face', 'face'], ['endure', 'withstand'], ['and', 'and']]
[[13, 13], [1, 1], [2, 2], [3, 3], [4, 4], [7, 8], [8, 9], [12, 12]]	[['.', '.'], ['-LRB-', '-LRB-'], ['medicine', 'medicine'], ['-RRB-', '-RRB-'], ['the', 'the'], ['an', 'an'], ['organism', 'organism'], ['disease', 'disease']]
[[2, 3], [1, 1]]	[['statement', 'statement'], ['a', 'a']]
[[3, 11], [2, 9]]	[['duty', 'function'], ['a', 'a']]
[[4, 1], [5, 2], [6, 3], [7, 4], [10, 6], [9, 5], [1, 10]]	[['a', 'a'], ['member', 'member'], ['of', 'of'], ['a', 'a'], ['group', 'unit'], ['forces', 'military'], ['soldier', 'troops']]
[[1, 1], [3, 4]]	[['become', 'get'], ['of', 'of']]
[]	[]
[[1, 5]]	[['revolve', 'revolving']]
[[3, 2], [1, 5]]	[['quantity', 'quantity'], ['twice', 'twice']]
[[19, 5], [7, 1], [8, 2], [9, 3], [10, 4]]	[['.', '.'], ['provoke', 'provoke'], ['or', 'or'], ['stir', 'stir'], ['up', 'up']]
[[1, 5]]	[['Funeral', 'funeral']]
[[4, 1], [6, 2]]	[['catch', 'catch'], ['fire', 'fire']]
[[9, 5]]	[['thing', 'something']]
[[1, 8]]	[['Medicines', 'medicine']]
[[4, 5], [5, 6], [6, 7]]	[['solving', 'solving'], ['a', 'a'], ['problem', 'problem']]
[]	[]
[[5, 2]]	[['away', 'away']]
[[2, 4]]	[['stiffener', 'brace']]
[[4, 2], [1, 1], [3, 9]]	[['passageway', 'passageway'], ['a', 'a'], ['underground', 'underground']]
[[6, 3], [8, 6]]	[['know', 'aware'], ['of', 'of']]
[[1, 1]]	[['move', 'move']]
[[1, 1]]	[['incorporate', 'incorporate']]
[]	[]
[[7, 3], [6, 2]]	[['harm', 'harming'], ['from', 'from']]
[[3, 2], [4, 3], [8, 5], [1, 1]]	[['as', 'as'], ['if', 'if'], ['whip', 'whipping'], ['beat', 'strike']]
[[7, 7], [8, 8], [5, 1], [6, 2]]	[['the', 'the'], ['uterus', 'uterus'], ['manually', 'manual'], ['turning', 'turning']]
[]	[]
[]	[]
[[5, 1], [1, 12]]	[['discover', 'discover'], ['capture', 'catch']]
[[7, 12], [5, 11], [1, 4]]	[['something', 'something'], ['introduction', 'introducing'], ['initiation', 'starting']]
[[5, 5], [1, 1]]	[['form', 'shape'], ['a', 'an']]
[[9, 8], [11, 10]]	[['taste', 'taste'], ['judgement', 'judgment']]
[[7, 2], [3, 7]]	[['interpreting', 'interpretation'], ['activity', 'action']]
[[4, 9], [5, 10], [3, 8]]	[['attention', 'attention'], ['to', 'to'], ['draw', 'call']]
[]	[]
[[3, 2]]	[['need', 'need']]
[[1, 1], [2, 2], [5, 3]]	[['an', 'an'], ['indication', 'indication'], ['of', 'of']]
[]	[]
[[3, 1]]	[['bring', 'cause']]
[[6, 17], [1, 1], [2, 2], [3, 3]]	[['.', '.'], ['A', 'a'], ['mental', 'mental'], ['state', 'state']]
[[4, 4], [3, 6]]	[['change', 'changing'], ['location', 'location']]
[[5, 1]]	[['move', 'move']]
[[1, 1], [4, 7]]	[['bring', 'bring'], ['consonance', 'consonance']]
[]	[]
[[1, 2], [2, 3], [3, 4], [4, 7]]	[['state', 'state'], ['of', 'of'], ['being', 'being'], ['unified', 'united']]
[[16, 8], [9, 5], [10, 6], [11, 7], [5, 1], [6, 2]]	[['.', '.'], ['a', 'a'], ['different', 'different'], ['character', 'character'], ['become', 'become'], ['different', 'distinct']]
[[2, 3], [4, 2]]	[['objective', 'intended'], ['goal', 'goal']]
[[9, 2], [10, 3], [1, 1]]	[['possession', 'possession'], ['of', 'of'], ['seize', 'take']]
[[1, 1]]	[['give', 'give']]
[[4, 3], [2, 2], [7, 11], [5, 10]]	[['time', 'schedule'], ['a', 'a'], ['event', 'events'], ['for', 'for']]
[[8, 5], [9, 6], [1, 4]]	[['more', 'more'], ['highly', 'highly'], ['value', 'value']]
[[1, 1], [5, 7]]	[['give', 'give'], ['cause', 'cause']]
[[1, 1], [2, 2]]	[['furnish', 'furnish'], ['with', 'with']]
[]	[]
[]	[]
[[2, 2]]	[['verbally', 'verbally']]
[[1, 1], [2, 2], [3, 4], [7, 3]]	[['a', 'a'], ['slight', 'slight'], ['cut', 'cut'], ['surface', 'surface']]
[[3, 6], [4, 7], [1, 1], [6, 5]]	[['to', 'to'], ['be', 'be'], ['cause', 'cause'], ['case', 'cause']]
[[8, 16], [6, 14], [7, 15]]	[['space', 'space'], ['a', 'a'], ['small', 'restricted']]
[[4, 5], [5, 6]]	[['the', 'the'], ['meaning', 'meaning']]
[[2, 10]]	[['animals', 'animals']]
[]	[]
[[7, 4], [8, 5], [4, 1]]	[['a', 'a'], ['bank', 'bank'], ['money', 'money']]
[[1, 1]]	[['cause', 'bring']]
[[1, 4]]	[['Performance', 'performance']]
[[1, 4], [2, 5]]	[['people', 'people'], ['assembled', 'assembled']]
[[1, 5], [2, 6]]	[['a', 'a'], ['computer', 'computer']]
[[1, 1]]	[['forbid', 'forbid']]
[[3, 7], [1, 6], [2, 10]]	[['files', 'file'], ['computer', 'computer'], ['text', 'text']]
[[5, 2], [6, 4]]	[['acknowledging', 'acknowledgment'], ['gratitude', 'appreciation']]
[[9, 10]]	[['something', 'something']]
[[8, 6], [1, 3], [2, 4]]	[['.', '.'], ['Become', 'become'], ['widespread', 'widely']]
[]	[]
[[1, 2], [7, 1], [4, 5]]	[['income', 'income'], ['government', 'government'], ['tax', 'taxation']]
[[4, 3]]	[['factor', 'influence']]
[[1, 3]]	[['end', 'end']]
[[6, 8], [5, 6]]	[['something', 'something'], ['hold', 'occupied']]
[]	[]
[[1, 4]]	[['arrangement', 'arrangement']]
[[3, 2], [1, 3]]	[['arrangement', 'arrangement'], ['system', 'scheme']]
[[1, 2], [2, 3], [3, 4]]	[['close', 'close'], ['within', 'within'], ['bounds', 'bounds']]
[[5, 2], [6, 3], [4, 1]]	[['or', 'or'], ['gather', 'gather'], ['acquire', 'get']]
[[6, 1]]	[['reprimand', 'censure']]
[[1, 1], [2, 2], [3, 3], [5, 4]]	[['a', 'a'], ['pair', 'pair'], ['of', 'of'], ['people', 'people']]
[[3, 1], [4, 2], [5, 3], [6, 4]]	[['become', 'become'], ['unfit', 'unfit'], ['for', 'for'], ['consumption', 'consumption']]
[[2, 5], [3, 6], [4, 7]]	[['with', 'with'], ['one', 'one'], ['another', 'another']]
[[1, 1], [2, 2], [3, 3], [10, 6], [11, 7]]	[['take', 'take'], ['vows', 'vows'], [',', ','], ['religious', 'religious'], ['order', 'order']]
[[1, 3], [2, 4], [3, 5]]	[['activity', 'activity'], ['of', 'of'], ['selling', 'selling']]
[[4, 1], [5, 2], [6, 3]]	[['allow', 'allow'], ['to', 'to'], ['have', 'have']]
[[3, 4], [1, 3], [2, 2], [5, 7], [6, 8], [6, 10]]	[['school', 'school'], ['secondary', 'secondary'], ['public', 'public'], ['grades', 'grades'], ['9-12', '9'], ['9-12', '12']]
[[9, 16], [4, 1], [5, 2], [6, 3], [7, 4], [8, 5]]	[['.', '.'], ['physician', 'physician'], ['and', 'and'], ['American', 'American'], ['Revolutionary', 'Revolutionary'], ['leader', 'leader']]
[[1, 5], [2, 6], [4, 8], [5, 9]]	[['luggage', 'luggage'], ['compartment', 'compartment'], ['a', 'a'], ['car', 'car']]
[[2, 4], [3, 5], [4, 6]]	[['a', 'a'], ['monopoly', 'monopoly'], ['of', 'of']]
[[2, 5], [3, 6], [4, 7], [1, 1], [6, 8]]	[['to', 'to'], ['a', 'a'], ['simpler', 'simpler'], ['reduce', 'reduce'], ['compound', 'compound']]
[[1, 3], [2, 4], [3, 5]]	[['cause', 'cause'], ['to', 'to'], ['be', 'be']]
[[11, 7], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]	[['.', '.'], ['To', 'to'], ['remain', 'remain'], ['emotionally', 'emotionally'], ['or', 'or'], ['intellectually', 'intellectually'], ['attached', 'attached']]
[[13, 10], [7, 4], [8, 5], [9, 6], [10, 7], [11, 8], [12, 9], [4, 1], [5, 2]]	[['.', '.'], ['at', 'at'], ['rates', 'rates'], ['cheaper', 'cheaper'], ['than', 'than'], ['express', 'express'], ['rates', 'rates'], ['transporting', 'transporting'], ['goods', 'goods']]
[[13, 13], [10, 10], [11, 11], [12, 12], [6, 1], [7, 2], [9, 5]]	[['.', '.'], ['of', 'of'], ['natural', 'natural'], ['resources', 'resources'], ['the', 'the'], ['preservation', 'preservation'], ['management', 'management']]
[[2, 4], [3, 5], [5, 7], [6, 6]]	[['the', 'the'], ['pod', 'pod'], ['husk', 'husk'], ['or', 'or']]
[[1, 1], [2, 2], [3, 3]]	[['abstain', 'abstain'], ['from', 'from'], ['eating', 'eating']]
[[1, 1], [2, 2], [3, 3], [4, 4]]	[['feel', 'feel'], ['hot', 'hot'], ['or', 'or'], ['painful', 'painful']]
[[6, 3], [7, 4], [8, 5], [5, 2]]	[['after', 'after'], ['being', 'being'], ['refused', 'refused'], ['return', 'back']]
[[2, 1], [3, 2], [4, 5]]	[['loss', 'loss'], ['of', 'of'], ['function', 'function']]
[[4, 2], [5, 3], [6, 4], [3, 1]]	[['who', 'who'], ['controls', 'controls'], ['resources', 'resources'], ['one', 'someone']]
[[5, 3], [4, 2]]	[['appliance', 'appliance'], ['cooking', 'kitchen']]
[[1, 1], [2, 2], [3, 3], [4, 4], [5, 7], [6, 8]]	[['rinse', 'rinse'], ['one', 'one'], ["'s", "'s"], ['mouth', 'mouth'], ['with', 'with'], ['mouthwash', 'mouthwash']]
[[5, 1], [6, 2], [7, 3], [2, 5]]	[['an', 'an'], ['approximate', 'approximate'], ['calculation', 'calculation'], ['quantity', 'quantity']]
[[1, 1], [2, 2], [3, 5], [4, 6]]	[['turn', 'turn'], ['on', 'on'], ['an', 'an'], ['axis', 'axis']]
[[1, 4], [2, 2]]	[['marriage', 'marriage'], ['offer', 'offer']]
[[12, 5], [9, 2], [10, 3], [11, 4], [8, 1]]	[['.', '.'], ['submission', 'submission'], ['or', 'or'], ['fear', 'fear'], ['showing', 'show']]
[[4, 3], [5, 4], [6, 5], [1, 8], [2, 9], [7, 6]]	[['of', 'of'], ['a', 'a'], ['legal', 'legal'], ['the', 'the'], ['public', 'public'], ['record', 'document']]
[[13, 7], [5, 4], [6, 5], [7, 6], [3, 3], [1, 1]]	[['.', '.'], ['or', 'or'], ['mature', 'mature'], ['imperfectly', 'imperfectly'], ['wither', 'wither'], ['Shrivel', 'shrivel']]
[[1, 1], [2, 2]]	[['have', 'have'], ['faith', 'faith']]
[[1, 5], [2, 6], [3, 7]]	[['burst', 'burst'], ['into', 'into'], ['flames', 'flames']]
[[8, 9], [1, 1], [2, 2], [3, 3], [7, 8]]	[['.', '.'], ['The', 'the'], ['cognitive', 'cognitive'], ['processes', 'processes'], ['remember', 'remembered']]
[[8, 4], [9, 5], [10, 6], [11, 7], [4, 14], [5, 15], [6, 16], [3, 13]]	[['a', 'a'], ['section', 'section'], ['of', 'of'], ['canal', 'canal'], ['the', 'the'], ['water', 'water'], ['level', 'level'], ['controls', 'control']]
[[1, 1], [2, 2], [3, 5]]	[['an', 'an'], ['onerous', 'onerous'], ['worry', 'concern']]
[[2, 3], [3, 4], [1, 1], [11, 8]]	[['or', 'or'], ['something', 'something'], ['someone', 'someone'], ['expectations', 'expectations']]
[[1, 1], [2, 2], [3, 3], [4, 11], [5, 12], [6, 13]]	[['a', 'a'], ['sharp', 'sharp'], ['side', 'side'], ['of', 'of'], ['an', 'an'], ['object', 'object']]
[[4, 6], [5, 7], [6, 4], [3, 1]]	[['of', 'of'], ['a', 'a'], ['ball', 'ball'], ['hit', 'hitting']]
[[13, 12], [9, 8], [10, 9], [11, 10], [12, 11], [5, 1], [6, 2], [7, 3], [8, 4]]	[['.', '.'], ['destroyed', 'destroyed'], ['or', 'or'], ['broken', 'broken'], ['up', 'up'], ['the', 'the'], ['remains', 'remains'], ['of', 'of'], ['something', 'something']]
[[2, 2], [3, 3]]	[['with', 'with'], ['force', 'force']]
[[12, 12], [6, 4], [7, 5], [8, 6], [9, 3], [10, 9], [11, 11], [1, 1], [4, 2]]	[['.', '.'], ['agent', 'agent'], [';', ';'], ['add', 'add'], ['an', 'an'], ['agent', 'agent'], ['to', 'to'], ['Treat', 'treat'], ['with', 'with']]
[[1, 1], [2, 2], [3, 3], [4, 4]]	[['pass', 'pass'], ['through', 'through'], ['the', 'the'], ['esophagus', 'esophagus']]
[[5, 7], [6, 8], [7, 9], [8, 10], [2, 6], [1, 3]]	[['within', 'within'], ['a', 'a'], ['bounded', 'bounded'], ['space', 'space'], ['freely', 'freely'], ['move', 'move']]
[[1, 1], [2, 2], [3, 3], [4, 4]]	[['secrete', 'secrete'], ['or', 'or'], ['form', 'form'], ['water', 'water']]
[[1, 1], [2, 2], [3, 3], [4, 4]]	[['the', 'the'], ['state', 'state'], ['of', 'of'], ['being', 'being']]
[[3, 3], [4, 4], [9, 7], [10, 8], [14, 17], [15, 18], [6, 5], [12, 10]]	[['of', 'of'], ['a', 'a'], ['notes', 'notes'], ['of', 'of'], ['the', 'the'], ['original', 'original'], ['theme', 'theme'], ['duration', 'duration']]
[[2, 4], [3, 5], [1, 2]]	[['to', 'to'], ['come', 'come'], ['time', 'time']]
[[3, 2], [4, 3], [5, 4], [6, 8], [1, 1]]	[['state', 'state'], ['of', 'of'], ['owing', 'owing'], ['money', 'money'], ['the', 'the']]
[[2, 5], [4, 3]]	[['style', 'style'], ['size', 'size']]
[[9, 4], [10, 5], [11, 6], [1, 1], [8, 2]]	[['one', 'one'], ["'s", "'s"], ['due', 'due'], ['demand', 'demand'], ['as', 'as']]
[[12, 5], [8, 1], [9, 2], [10, 3], [11, 4]]	[['.', '.'], ['damage', 'damage'], ['the', 'the'], ['reputation', 'reputation'], ['of', 'of']]
