Sent1	DLS_compose_ppmi	DLS_compose_cbow
a method for solving a problem	0.825879598018	0.771848159455
reach an objective, attain a benchmark or goal	0.558746193761	0.343193582901
take something or someone away from somewhere	0.826853965934	0.610730555235
a stiffener in a garment	0.507351300556	0.37051693668
a constructed underground passageway	0.611623967666	0.64800602937
discern, identify, or know because of a previous experience	0.485695608101	0.382206615419
move or change one's own position or quality	0.65920479708	0.547098972122
incorporate or enclose one thing in another	0.550612455509	0.411395380456
guide, draw through	0.239090189828	0.123026801288
rescue, redeem, deliver from harm or danger	0.58316873038	0.36706233711
beat (as if) with a whip or rod	0.492671207426	0.389316142049
the medical procedure of manually turning the uterus	0.831435982709	0.703597244739
create an edge or border	0.477865591835	0.225874651434
restart or continue an activity after an interruption or pause	0.62503100472	0.369464192637
capture, ensnare, discover in the act	0.601290506361	0.465652809293
initiation, founding, introduction of something	0.703316422279	0.501888703584
a creased or bent form	0.622840552246	0.431265366401
train, tutor or polish social behavior, taste, judgement	0.677303515115	0.619667860211
a mental activity of construing or interpreting	0.554766117421	0.466637570538
emphasize; draw attention to; underline	0.563113595688	0.576638537051
possibility for the future	0.415867030793	0.227288464377
require or need something that is missing	0.789004300237	0.772014251168
an indication or manifestation of something, often physical	0.681377930456	0.503115997776
a sudden, brief burst of light	0.618898151681	0.488629591259
come or bring back to life, health, existence or use	0.506526188136	0.40277972357
A mental state of sadness.	0.775367411454	0.576382335025
position or location change	0.752945779109	0.635572607546
(cause to) move through a space, circuit or system, usu. returning to the starting point	0.693058291064	0.433055285444
bring in to consonance	0.806631177389	0.751362872878
submit, send to	0.256964777797	0.115738860902
state of being unified	0.582608506219	0.48540285537
(Cause to) become different or aquire a different character, possibly during development.	0.866461370613	0.809663812016
an objective or goal	0.633355645868	0.594823010524
seize and take captive; take or gain possession of something	0.738298499515	0.636418627265
give, dedicate, pledge	0.48297163914	0.364623243596
decide a specific time for an event	0.813728214342	0.631561417199
value a thing or course of action more highly than another	0.805836159504	0.650915195267
give something for a cause	0.833507168343	0.749319539301
furnish with a guideline	0.739479490359	0.457651422918
a social entreaty, as courtship or pleading	0.445356255937	0.244169894357
fail in strength or health and cease to funtion	0.438734117936	0.195849276263
reply verbally or in written form to a question, comment, letter, or speech	0.440326171653	0.465267376798
a slight cut in a physical surface	0.808224339691	0.70211535487
cause something to be the case	0.785960343515	0.68194649508
a state of confinement in a small space	0.626405319021	0.440722310791
state or explain the meaning	0.745054328529	0.564537216432
cause animals to move	0.655400835216	0.533859544739
be against, resist	0.405873888617	0.163152409359
a quantity of money added to a bank account	0.773148104123	0.639917819241
cause to come into existence; create	0.636048491459	0.487268416465
Performance, routine	0.692568584367	0.496842641044
people assembled together in a rhythmic movement	0.794575649088	0.595473239334
a computer server	0.866328841069	0.723056765144
forbid, prohibit	0.524578567397	0.482480793304
computer text files	0.892124981581	0.843080208904
a speech act of acknowledging gratitude for something	0.624924625016	0.536950276645
a state of pretending to be someone, something else	0.58427858367	0.434299383205
Become widespread as an idea or feeling.	0.631229535232	0.520029355854
connect with; reach a target or goal	0.335432365259	0.209873724852
income collected as tax by a government	0.858734233714	0.848310931507
be the deciding factor in a state of affairs or an outcome	0.561103302533	0.316102479401
end	0.815770371769	0.720815419567
a region allocated to hold something	0.690943142083	0.517863128033
acknowledge a contribution or cause	0.47079618122	0.274159866606
arrangement	0.686593774087	0.488053158165
system of arrangement	0.78926864092	0.794088657521
close within bounds; deprive of freedom	0.828657835575	0.679752114925
to collect, acquire or gather	0.672932243463	0.685447546483
deliver a formal talk or reprimand at length	0.415924712243	0.281508567564
a pair of mated people, e.g., married	0.65933229976	0.597658844954
rot; become unfit for consumption	0.853114784253	0.846235835927
lock with one another	0.782567035344	0.431406963188
take vows, join or allow to join a religious order	0.854709912166	0.80003723442
activity of selling	0.862615572543	0.874826803022
give out, allow to have	0.888044791823	0.841564313864
secondary public school, grades 9-12	0.821628226993	0.864654778156
Benjamin Rush, physician and American Revolutionary leader.	0.816711687198	0.744973257157
luggage compartment of a car	0.862356839927	0.898789405093
have a monopoly of; control fully	0.653438288479	0.65888190546
reduce to a simpler molecular compound	0.86060444802	0.734026017323
cause to be interested	0.673658351747	0.538426594883
To remain emotionally or intellectually attached without necessary physical contact.	0.8390332468	0.849648614763
The act of transporting goods commerically at rates cheaper than express rates.	0.945951737564	0.926078777
(An occurance of) the preservation or management of natural resources.	0.9205013224	0.866320420308
remove the pod, husk or shell	0.819615600558	0.739799191869
abstain from eating or from certain foods	0.861485474923	0.89120034545
feel hot or painful, as if burning	0.947557282086	0.910538497186
(cause to) return after being refused	0.695927095116	0.711019103871
a loss of function	0.842770187611	0.81115806827
administrator, one who controls resources	0.785633489457	0.632520206467
a stovetop, cooking appliance	0.798909478527	0.885961634638
rinse one's mouth with mouthwash, gargle	0.940698569326	0.930466334687
a quantity that is an approximate calculation	0.897986424755	0.857822733664
turn on an axis; spin	0.779740148618	0.701458221234
marriage offer	1.0	1.0
Try to gain favor by flattering or showing submission or fear.	0.748324629782	0.662315414934
the public submission of a legal record	0.91092148899	0.799761718245
Shrivel, wither, or mature imperfectly, as of a flower.	0.961462177956	0.936390585318
have faith in, bet on	0.671132969392	0.547497483545
burst into flames (telic)	0.799241122775	0.749499617552
The cognitive processes and capacity to remember.	0.806141084154	0.728250217184
mechanism that controls the water level in a section of canal	0.84769205263	0.759438508694
an onerous worry or concern	0.83570270571	0.845167408174
someone or something that is the agent of fulfilling desired expectations	0.860766705166	0.705842386237
a sharp side of an object	0.835609911719	0.77084006213
the forceful hit of a ball	0.729573471581	0.568475333546
Fine powdery material; the remains of something destroyed or broken up.	0.835995751643	0.753252752271
throw with force	0.492850000597	0.448925047999
Treat a substance with some agent; add an agent to.	0.964111374934	0.94120134927
pass through the esophagus	0.643155619633	0.734425602414
move freely (usually within a bounded space)	0.946511709807	0.904379340546
secrete or form water	0.894325313322	0.811878849481
the state of being in contact	0.581420489733	0.547246996892
a variant of a musical theme which employs notes of reduced duration from the original theme	0.829238902985	0.736244644247
time to come	0.918110306986	0.880077899821
the legal state of owing money	0.828875765392	0.788057419029
a style and size of typeset	0.573644875539	0.617558028511
demand, ask for, or take as one's due	0.754421642852	0.526530606139
Cause to be distrusted or rejected; damage the reputation of.	0.777519999016	0.747453086937
Give equal rights to, as of the right to vote.	0.864367705753	0.759582755162
(cause to) lengthen or expand in time or some abstract realm	0.756466550396	0.685345417235
a knapsack, bundle on the back	0.681837321497	0.688418451154
a person who delivers information or goods	0.582699896706	0.567944067231
having an intuitive understanding or appreciation of something	0.960498977086	0.936262107199
adherence to moral principles	0.925325698287	0.878733677074
have sex with	0.8683007359	0.625609928957
partake or provide a banquet	0.829449391449	0.817681823087
idolize/show devotion to	0.767484855736	0.730738675745
make a ticking sound	0.942736432826	0.843115691186
run or flow slowly	0.915098218927	0.834711890978
Write a computer programme.	0.920061011098	0.870067074685
a state of social order in conformance with existing law	0.858880606083	0.749838787521
An electronic storage device.	0.924162247181	0.795044807723
a reference line used to align lettering	0.890813768275	0.851760264867
the quality of dedication, fixity of purpose	0.784053548814	0.624959366306
Look furtively at something.	0.936452757695	0.91619341733
cast off, get rid of something	0.869439069861	0.818808402148
recover posession or get back again	0.851184979389	0.90339084144
a coefficient assigned to elements in a frequency distribution in order to indicate the relative importance of each element	0.980026924035	0.939964131484
(cause to) move around	0.79744139186	0.683063079349
become due	0.875472836204	0.720333638687
Provide medical care for.	0.972574856425	0.795291288557
do over, make new	1.0	1.0
coat, cover, or treat the surface of	0.896857746877	0.819237477687
BASEBALL: strike out a batter	0.916127368798	0.882794046899
Regain or make up for, as of a financial loss.	0.816266212721	0.796060707869
duplicate, match	1.0	1.0
indistinct vocal articulations	0.901609233032	0.87655678457
the act of shoving something away	0.793790166645	0.696624966804
move or drive forcefully as if by a punch.	0.871791377451	0.816532577527
an intense surprise, often unpleasant	0.814806328718	0.758351545176
Make less emotionally hostile; win over mentally or emotionally.	0.737277143397	0.637126727192
informal usage for a domestic cat, often young	0.858310202523	0.783482442459
The act of sorting one thing from others.	0.921063416067	0.851496217238
the act of physically affixing or connecting things	0.711852314204	0.641774173731
the people who dwell in a camp	0.751615145216	0.645948932434
An unforseen development.	0.95083144511	0.785645539617
bring into general popular/common use	0.828772240166	0.705990470829
make impure; make radioactive	0.934313253807	0.812767676082
a long, thin implement, usually made of wood	0.785962724341	0.641104648687
Formally reject or disavow a formerly held belief; retract a statement.	0.907138082685	0.846775752852
(Cause to) to turn to the left side.	0.827851201056	0.688461778501
Entail as a necessary accompaniment or result	0.927813029385	0.855528995765
Physically attach to something.	0.662242447647	0.605344035256
assign to a particular task	0.962782817367	0.9567198596
culminating event	1.0	1.0
act of constructing	0.86594760641	0.897453299132
the primary information-processing component of a computer, of a microprocessor chip	0.855864550795	0.836366461424
consider again, usually with a view to changing	0.78033273961	0.573843611149
cancel, reverse, annul	0.868922882279	0.891461931452
define; determine essential qualities of	0.959417891962	0.925082621259
The pursuit and killing or capture of animals.	0.921580996956	0.866511364574
manipulate the registers of a musical instrument	0.877833755618	0.793292621175
move in an irregular course	0.811519228405	0.739235421067
the legal granting or bestowment of rights	0.900522761526	0.753829297318
jolt of electrical current to the body	0.79888051916	0.520106073513
Become pregnant.	0.795690643448	0.803095228467
the bestowing of a franchise, enfranchisment	0.810684545164	0.756541528167
act of distributing	0.82638226842	0.835698342972
The state of being more than satisfied or satiated.	0.503943869563	0.511839107578
conscious subjective emotion or desire	0.932870039145	0.889250168629
The act of proposing someone as a candidate for something.	0.674196446399	0.569867652185
to hunt snipe	0.910953460299	0.893674820308
hunt for hawks	1.0	1.0
a continuous horizontal layer of brick	0.798861059532	0.656892934331
a brief attempt at some endeavor	0.790097212369	0.768171825492
propagation of waves back from a surface	0.877607771622	0.790189725667
examine minutely; search diligently	0.871011268405	0.793807019653
enjoy, be fond of or approve	0.739668999684	0.6976638404
a person under the guardianship or custody of another	0.913841067876	0.83272224707
Strike or hit sharply, perhaps as in sport.	0.892197859638	0.876095559253
Fly in or on a glider plane	1.0	1.0
one fourth of a year	0.861956400588	0.875807278381
make an abstract thing tight or more restrictive	0.815414413167	0.677254817231
provide (a person or group) with power or authority	0.892689286395	0.861947374889
Run at a moderately swift pace, as for exercise.	0.960642745213	0.927348064966
Envelop completely; form a cover over.	0.811901275002	0.701255427757
mold for casting, setting concrete	0.953900697394	0.896755056263
cause friction; wear away or erode	0.850645138715	0.861005399893
A feeling for something that is desired intensely.	0.958031729673	0.928279436563
put or store in a bottle	0.73429449508	0.717960874495
Be a sign or indication of; have as a meaning.	0.91859265174	0.897478373741
the act of choosing, picking one among many	0.700978779321	0.684960071022
act of becoming distant, moving away from	0.86808045278	0.889162621436
take in marriage; perform a marriage ceremony	0.870266974041	0.860400011842
Skip, leap, or move up and down or sideways as a manner of motion.	0.93327744932	0.884346207485
a military fortification, stronghold	0.840170719892	0.735624636794
the fashionable elite of a given community	0.803122478385	0.859429425979
characteristic call of an animal	0.780912023872	0.734172682379
make or become more acute or intense	0.797553047584	0.669574741146
A journey for some purpose.	0.761387517738	0.770877126101
Fake or falsify; control in a fraudulent manner.	0.86097714505	0.819593264792
fruit cooked down with sugar, jam	0.899710079816	0.822521812493
the act of leading or guiding others	0.67973065998	0.446393877493
coating used as a repellant to moisture	0.718770073338	0.665498087123
a person who cleans chimneys	0.860671080548	0.859810354893
Shine intensely; emit a steady, even light from a source.	0.914443086007	0.820692260445
behave in a certain way; have a specific effect or outcome	0.876584846614	0.817244767938
communicate with a hiss	0.668840288511	0.624270071535
a male bee whose function is to fertilize the queen	0.879611575729	0.867150177145
a sporting match, boxing	0.909379764242	0.827209157241
cause to reproduce (plants or animals)	0.808323338835	0.751654583821
The feeling of annoyance at being hindered or thwarted.	0.908513592475	0.841061859933
move along on wheels	0.892998013679	0.820976371619
[provide with a new or different resting place	0.782405013875	0.543874180101
activity of extracting ore or other matter from the ground	0.801819827682	0.739734593335
to interrupt, enter uninvited	0.914193187849	0.804446085421
A person or thing equal to another in value or significane.	0.88374183393	0.825196521399
a cause or source of harm	0.742764297429	0.534348147249
make (more) comprehensible	0.944949246719	0.920737400794
the state of being retained	0.473835919321	0.368829591538
a problem, something wrong	0.705942178108	0.718564820144
stretch out or over completely	1.0	1.0
continue to live, exist, or prosper	0.691238035384	0.565900027414
a caress with the lips	0.665183880302	0.668146680016
Provide with rails, as by laying.	0.757928539825	0.799623113518
the close approach of one object to another	0.834679029452	0.689197605642
make a hole with a pointed tool	0.906678621141	0.870406883926
Fix (something old) with a new part; improve.	0.879307657885	0.742254598207
the act of damaging something, causing breakage	0.784065480569	0.603676438793
the ground level of a multi-storied building	0.861236709224	0.867243160452
A quantity of something	0.732875990677	0.720906213236
a large room	0.757254710058	0.638557266133
leave out, omit, prevent from entering	0.872685731015	0.745931449992
Sniff at inquiringly.	0.900190167379	0.857718871073
provide lodging for	0.633307535181	0.497913796594
Change the purpose or functioning of a system.	0.820290209105	0.708440350207
provide with tools or items for a specific purpose	0.838899593758	0.772425855992
gain points in a game; add up (numbers)	0.88378737881	0.863685986833
travel in front of, be first, precede	0.752190117527	0.705167503697
Remove by rubbing	0.910746667608	0.897466063306
the hard upper part of the human nose	0.898214950079	0.810649712576
make shine	0.885859282528	0.847699538524
recover, return to former state	0.810756176164	0.685261153319
remove the pod, husk or shell	0.857142644703	0.794135946892
speed up the process of	0.819646450118	0.680946454497
(cause to) swing and miss the third pitch, striking out	0.822473374361	0.675892189255
Literally and quantifiably raise in social rank or status.	0.86229054667	0.829234586648
alter by chemical means, to make images.	0.873311627453	0.713196566268
highly infectious viral disease	0.93577537188	0.887308379475
make a certain size or sort according to size	0.838573225392	0.82982859758
Remove tree stumps from an area.	0.925361588286	0.940074873192
pass the tongue over, take up with the tongue	0.878649038239	0.903933914947
a computer-generated visual image	0.757280881586	0.61553615458
do better in a competition; win	0.785893346198	0.676770007471
aerodynamic force that opposed gravity	0.907134296382	0.891358709384
Start abruptly, ignite	0.869565851969	0.780443342539
a local announcement made within a public broadcast	0.804009879131	0.685719622262
making real or concrete	0.906526322307	0.88633657487
Sound sharply or shrilly, as if stabbing.	0.929827163179	0.869107127698
the act of officially gaining entrance to somewhere	0.693594016712	0.552528260942
spend time in prison	0.892587697098	0.820899776804
hold, contain within	1.0	1.0
act of verbally informing	0.812902691054	0.771747411894
forcefully request	0.931684770884	0.8477172468
the quality of dissimilarity	0.596411681089	0.546945078735
throw quickly, flick	0.909004650232	0.844391434122
move to and fro around a particular point or points, remain near	0.678636147515	0.623037531282
Put up with something or someone unpleasant; show deference towards someone or some authority.	0.864511901888	0.777280417851
the breakup or termination of a social relationship	0.798632793422	0.778846283291
destruction of a ship	0.808450348757	0.764942513978
The human act of making something new.	0.857514047757	0.740296739035
ride (a bicycle or motorcycle)	0.977029257679	0.934584267874
The principal activity that one does to earn money.	0.9071600431	0.825354251015
maintain or preserve a particular condition, state, or activity	0.883723352618	0.800105462597
a spoken or written reply to a question	0.829308101612	0.799705487834
committee with supervisory powers	1.0	1.0
a section of a composition, textual or musical	0.887333822478	0.824989656191
a gear for changing the motion of a machine to the opposite direction	0.887026826567	0.820793922106
take a digestion-aiding walk after a meal	0.788624011648	0.773010131634
forked form or shape	0.860115411886	0.815575514236
insert or close with a plug	0.861125206354	0.718266529029
incite some act of insubordination	0.908781908447	0.872666013658
formally announce the termination of an agreement	0.912047298005	0.812764757895
beat or pound rapidly	0.713182391085	0.662174465595
Make a line or marks on a surface; copy by following the lines of	0.918109301105	0.876748523863
recite as a chant, intone	0.84292460852	0.836592753504
the ability of computers to exchange digital information between them and make use of it	0.853999760057	0.732033625549
act of applying force	0.919154423824	0.918523456425
the process of becoming less or smaller	0.845097430686	0.730730077087
Be in command of; exercise authority or control over.	0.815158466476	0.735043581287
be a factor or play a role in something	0.615861058253	0.648050103717
an expanse of land	0.666415779969	0.650306095644
move an implement through with a circular motion, mix	0.776143315315	0.681511030044
deprive of courage, hope, or optimism	0.794140640521	0.747686588053
the armed forces	0.93177512529	0.911690233941
Furnish with metal spurs.	0.697659747755	0.538624937122
Remove water from a substance.	0.920689678298	0.840856976901
Provide with rails, as by laying.	0.882216270965	0.825799321444
make or be a summary	0.773266640068	0.807721979622
be affected with smut or mildew	0.871370825874	0.790663040743
Talk or behave amorously; have sex with.	0.754588773093	0.623778865585
Excuse some minor social infraction; accept an excuse for something.	0.851823165387	0.790278221083
indicate, be signs or symptoms of	0.669240971113	0.62606790456
a verbal or written request for access to something.	0.778328378125	0.716587642491
have a logical result	0.87281686094	0.901525020655
Travel on foot.	0.734561017542	0.619929534901
the act of suction	0.719730076171	0.617412145312
A band of leather or rope made to identify animals.	0.860670449694	0.800271134131
Put a harness on.	1.0	1.0
Provide or equip specifically with furniture.	0.941414683609	0.946742153315
To move (the head or body) quickly downwards or away (from something).	0.980974643552	0.975250313832
reason or establish by deduction	0.971568896719	0.95872208281
Make pregnant; fertilize and cause to grow.	0.886861500886	0.868839075184
find the solution to or understand the meaning of	0.940838908642	0.88526908
Move about in a confused or purposeless manner.	0.932805857658	0.929580252514
put up with something unpleasant	0.949344466297	0.928898607243
A means or agency by which something is communicated.	0.957136617133	0.900924899759
take apart into constituent pieces	1.0	1.0
A short theatrical program that is part of a longer program.	0.951244030687	0.917196647747
decree, issue an order	0.91423837545	0.802621113947
the termination, ending of a meeting	0.882344646505	0.892533204897
An indicator that orients one generally.	0.911141511067	0.963740009145
Increase the acoustic volume of.	0.886332808797	0.82929200895
open to members of all races and ethnic groups	0.962528235498	0.963985308172
reduce to small pieces by pounding or abrading	0.956575498969	0.902222517334
hit a fly (baseball)	0.889866628041	0.80982547271
FISHING-exhaust by allowing to pull on the line	0.936879088355	0.834876750817
be or come into conflict	0.870531483334	0.801330020662
Produce a phonemic click.	0.849493353547	0.759110741159
angle with a hook and line and draw through water	0.952507076597	0.962609632689
the front face of a building	1.0	1.0
make something more diverse or varied	1.0	1.0
issue bonds on something	0.878687221273	0.914379300305
