a cappella	without accompaniment
avert	turn away
avian	pertaining to birds
avid	enthusiastic
avocation	hobby
avouch	attest, guarantee
avow	declare
avuncular	like an uncle
awry	crooked
axiom	self-evident truth
azure	sky blue
babbittry	smugness
bacchanal	orgy, drunken celebration
badger	pester
badinage	banter
bagatelle	nonentity, trifle
bailiwick	area of concern or business 
baleen	whalebone 
baleful	hostile, malignant 
balk	hesitate 
balky	hesitant 
ballad	song 
ballast	counterbalance 
ballistics	study of projectiles 
balm	soothing ointment 
banal	trite 
bandy	exchange 
bane	poison, nuisance 
barbarian	savage 
bard	poet 
baroque	ornate 
barrister	lawyer 
bask	take pleasure in, sun 
basso	low male voice 
bastion	fort 
bathos	sentimentality 
batten	fasten, board up 
battery	physical attack 
bauble	trinket 
beatify	sanctify 
beatitude	state of bliss 
beckon	lure 
becoming	proper 
bedlam	uproar 
befit	to be suitable
beget	produce, procreate
begrudge	resent, envy
beguile	deceive, seduce
behemoth	monster
behest	command
beholden	in debt, obliged
belabor	assail verbally, dwell on
belated	delayed, overdue
beleaguer	besiege
belfry	bell tower
belie	misrepresent, disprove
belittle	disparage
bellicose	warlike
belligerent	combative
bellow	shout
bellwether	leader, guide
bemoan	lament
bemused	bewildered
benchmark	standard
benediction	blessing
benefactor	patron
benevolent	kind
benign	harmless
bent	determined
bequeath	will
bequest	gift, endowment
berate	scold
bereave	to rob, to deprive somebody of a love one, especially through death
bereft	deprived of 
berserk	crazed with anger 
beseech	implore, beg 
beset	harass, encircle 
besiege	beleaguer, surround
besmirch	slander, sully 
bespeak	attest 
bestial	beast-like, brutal 
bestow	offer, grant
betrothed	engaged
bevy	group
bibliography	list of sources of information
bicameral	having two legislative branches
bicker	quarrel
biennial	occurring every two years
bilateral	two-sided 
bilious	ill-tempered 
bilk	swindle 
biodegradable	naturally decaying 
biopsy	removing tissue for examination 
biped	two-footed animal
bistro	tavern, cafe
bivouac	encampment
blandish	flatter, grovel
blasé	bored with life
blasphemy	insulting God
bleak	cheerless, forlorn
blight	decay
bliss	happiness
blithe	joyous 
bloated	swollen 
bode	portend 
bogus	forged, false 
bogy	bugbear 
boisterous	noisy
bolt	move quickly and suddenly 
bombast	pompous speech 
bon vivant	gourmet, epicure 
bona fide	made in good faith 
bonanza	a stroke of luck 
boon	payoff, windfall 
boor	vulgar person 
bootless	unavailing 
booty	loot, stolen goods
botch	bungle
bourgeois	middle class
bovine	cow-like
boycott	abstain in protest
bracing	refreshing
brackish	salty
brandish	display menacingly
bravado	feigned bravery
bravura	technically difficult, brilliant
brawn	strength
brevity	shortness of expression
brigand	robber
brink	edge, threshold
broach	bring up a topic for conversation
bromide	cliché
brook	tolerate
browbeat	to bully
brusque	curt
bucolic	rustic 
buffet	blow, pummel
buffoon	fool, joker
bulwark	fortification
buncombe	empty, showy talk
buoyant	floatable, cheerful
burgeon	sprout
burlesque	farce
burly	husky
buttress	support
cabal	a group of conspirators
cabaret	night club
cache	hiding place 
cachet	prestige 
cacophony	dissonance, harsh noise 
cadaver	corpse 
cadaverous	haggard 
cadence	rhythm 
cadet	a student of a military academy 
cadge	beg 
cadre	small group 
cajole	encourage, coax 
calamity	disaster 
calculating	scheming 
caliber	ability, character 
callous	insensitive 
callow	inexperienced
calumny	slander
camaraderie	fellowship
canaille	rabble
canard	hoax 
candid	frank, unrehearsed 
candor	frankness 
canine	pertaining to dogs 
canon	rule
cant	insincere speech
cantankerous	peevish
cantata	musical composition
canvass	survey
capacious	spacious
capillary	thin tube
capital	most significant, pertaining to wealth
capitol	legislative building
capitulate	surrender
capricious	fickle, impulsive
caption	title
captious	fond of finding fault in others
captivate	engross, fascinate
carafe	bottle
carbine	rifle
carcinogenic	causing cancer
carcinoma	tumor
cardinal	chief
cardiologist	one who studies the heart
careen	swerve
carrion	decaying flesh
cartographer	mapmaker
cascade	waterfall
cashmere	fine wool from Asia
Cassandra	unheeded prophet
castigate	criticize
castrate	remove the testicles
casuistry	specious reasoning 
cataclysm	catastrophe 
catastrophic	disastrous 
categorical	absolute, certain 
cathartic	purgative, purifying 
catholic	universal, worldly 
caucus	meeting 
cause célèbre	celebrated legal case
caustic	scathing (of speech) 
cauterize	to sear 
cavalier	disdainful, nonchalant 
caveat	warning 
caveat emptor	buyer beware 
cavil	quibble 
cavort	frolic 
cede	transfer ownership, relinquish 
celestial	heavenly 
celibate	abstaining from sex 
cenotaph	empty tomb, monument 
censorious	condemning speech 
censure	condemn
ceramics	pottery
cerebral	pertaining to the brain
cessation	a stoping
chafe	abrade
chagrin	embarrassment
chalice	goblet
champion	defend
chaperon	escort
charade	pantomime, sham
charlatan	quack, imposter
chartreuse	greenish yellow
chary	cautious
chaste	pure, virgin
chasten	castigate
chateau	castle
cheeky	brass, forward
cherub	cupid
cherubic	sweet, innocent
chicanery	trickery
chide	scold 
chimerical	imaginary, dreamlike 
choleric	easily angered 
chortle	laugh, snort 
chronic	continual (usually of illness) 
chronicle	a history, record 
chronology	arrangement by time 
churl	a boor 
chutzpah	gall 
Cimmerian	dim, unlit 
cipher	zero, nobody, a code 
circa	about (of time) 
circuitous	roundabout 
circumcise	remove the foreskin 
circumlocution	roundabout expression 
circumspect	cautious
circumvent	evade, thwart
citadel	fortress
citation	summons to appear in court
clamor	noise
clan	extended family
clandestine	secret
claustrophobia	fear of enclosed places
cleave	split 
cleft	split 
clemency	forgiveness 
clique	a small group 
cloister	refuge, monastery 
clone	duplicate
clout	influence
cloven	split
cloy	glut, to sicken by excess
cloyed	jaded
co-opt	preempt, usurp
coagulate	thicken
coalesce	combine
coda	concluding passage
coddle	pamper
codicil	supplement to a will
coercion	force
coffer	strong box
cogent	well-put, convincing
cogitate	ponder
cognate	from the same source
cognizant	aware, mindful
cognomen	family name
cohabit	live together
cohere	stick together
cohort	an associate
coiffure	hairdo
collaborate	work together
collar	seize, arrest
collateral	securities for a debt
colloquial	informal speech
colloquy	conference
collusion	conspiracy
colonnade	row of columns
comatose	stupor
combine	unite, blend
commandeer	seize for military use
commemorate	observe
commend	praise
commensurate	proportionate
commiserate	empathize 
commissary	food store 
commission	authorization to perform a task
commodious	spacious
commodity	product
commodore	naval officer
communicate	with others
communion	fellowship
commutation	exchange, substitution
commute	lessen punishment
compact	covenant 
compassion	kindness 
compatible	well-matched, harmonious 
compatriot	countryman 
compelling	convincing, persuasive
compendium	summary
compensate	make up for
compensatory	redeeming concourse throng, open space for a gathering
competence	skillfulness 
compile	collect 
complacent	self-satisfied, oblivious to coming danger 
compliant	submissive, conforming
complicity	guilt by association
comport	to conduct oneself
composed	cool, self-possessed 
compound	augment 
comprehensive	thorough 
comprise	consist of 
compulsive	obsessive 
compulsory	obligatory 
compunction	remorse 
concatenate	link 
concave	curving inward 
concede	yield, grant 
concerted	done together, intensive effort 
conch	spiral shell 
conciliatory	reconciling, restoring goodwill 
concise	brief
conclusive	convincing, ending doubt
concoct	devise
concomitant	accompanying, concurrent
concord	accord
concordat	agreement
concubine	mistress
concur	agree
concurrent	simultaneous
condescend	patronize, talk down to
condiment	seasoning
condolence	commiseration
condone	overlook wrong doing, pardon
conducive	helping
conduit	pipe
confabulate	discuss, give a fictitious account of a past event
confection	candy
confederacy	alliance
confer	bestow
conference	meeting
confidant	trusted friend
confide	trust another (with secrets)
confiscate	seize
conflagration	large fire
confluence	flowing together
confound	bewilder
confront	challenge 
confuse	perplex 
confute	disprove 
congeal	solidify 
congenial	friendly 
congenital	inborn, existing from birth 
congeries	pile 
congruence	conformity 
coniferous	bearing cones 
conjecture	hypothesis, speculation 
conjugal	pertaining to marriage 
conjure	summon 
connive	conspire 
connoisseur	an expert, gourmet 
consanguineous	related by blood 
conscientious	honorable, upright 
conscription	draft, enlistment 
consecrate	make holy 
consecutive	one after another 
consensus	general agreement contrariety opposition
considered	well thought-out, contemplated 
consign	assign
consolation	comfort, solice
console	comfort
consolidate	unite, strengthen
consonant	harmonious
consort	spouse
consortium	cartel
conspicuous	obvious
conspire	plot
constellation	arrangement of stars
consternation	anxiety, bewilderment
constrained	confined
construe	interpret
consummate	perfect
contagion	infectious agent
contemplate	meditate
contempt	disdain
contend	struggle
contented	satisfied
contentious	argumentative
contiguous	adjacent, abutting
continence	self-control
contingent	conditional
contort	twist
contraband	illicit goods
contraction	shrinkage
contractual	related to a contract
contrast	difference, comparison
contravene	oppose
contretemps	unfortunate occurrence
contrite	apologetic
contrive	arrange, artificial
controversial	subject to dispute
controvert	dispute
contumacy	disobedience
contusion	bruise
conundrum	puzzle, enigma 
convene	assemble (a group) 
conventional	customary, standard 
converge	come together 
conversant	familiar 
converse	opposite 
convex	curving outward 
convey	communicate 
conviction	strongly held belief 
convivial	sociable, festive 
convocation	gathering 
convoke	convene, summon 
convoluted	twisted, complicated 
copious	abundant 
coquette	a flirt coup de grâce final stroke, a blow of mercy
cordial	friendly
cordon	bond, chain, barrier
cornucopia	cone-shaped horn filled with fruit
corollary	consequence 
coronation	crowning of a sovereign 
corporeal	of the body
corps	group of people
corpulent	fat
corroborate	confirm
cortege	procession
coruscate	sparkle
cosmopolitan	worldly, sophisticated
cosset	coddle
coterie	small group
countenance	facial expression
countermand	overrule
counterstrike	strike back
countervail	counterbalance
coup	master stroke, sudden takeover
court-martial	military trial
courtesan	prostitute
courtier	member of the king’s court
covenant	agreement, pact
covert	secret
covet	desire 
cower	showing fear 
crass	crude 
crave	desire 
craven	cowardly 
credence	belief 
credenza	buffet 
credulity	gullibility 
credulous	believing 
creed	belief 
crescendo	becoming louder 
crestfallen	dejected
crevice	crack
cringe	cower
criterion	a standard used in judging
critique	examination, criticism
croon	sing 
cruet	bottle 
crux	gist, key 
cryptic	mysterious, puzzling 
cubism	a style of painting 
cudgel	club 
culinary	pertaining to cooking 
cull	pick out, select 
culminate	climax 
culpable	blameworthy 
culprit	offender 
culvert	drain 
cumbersome	unwieldy 
cumulative	accumulate
cupidity	greed
curb	restrain, block
curmudgeon	boor, bad-tempered
curriculum	course of study
curry	seek favor by flattery
cursory	hasty
curt	abrupt, rude
curtail	shorten
cyclone	storm
cynical	scornful of the motives or sincerity of others
cynosure	celebrity, center of attention
czar	Russian emperor
dab	touch lightly
dais	platform
dally	procrastinate, linger
dank	cold and damp
dauntless	courageous
de facto	actual, in effect
de jure	legally
de rigueur	very formal, compulsory
deadpan	expressionless
dean	of a group
dearth	scarcity
debacle	a rout, defeat
debase	degrade
debauch	corrupt
debauchery	indulgence 
debilitate	weaken 
debonair	sophisticated, affable 
debrief	interrogate, inform 
debunk	refute, expose 
debutante	a girl debuting into society 
decadence	decay (e.g. moral or cultural)
decant	pour
decapitate	kill by beheading
decathlon	athletic contest
deceive	trick
deciduous	shedding leaves
decimate	destroy
decipher	decode
decline	decrease in number
decommission	take a ship out of service
decorous	seemly, dignified
decorum	protocol, etiquette
decree	official order
decrepitude	enfeeblement
decry	castigate
deduce	conclude
deduct	subtract 
deem	judge 
deface	mar, disfigure 
defamation (noun)	slander 
defame (verb)	slander 
defeatist	one who is resigned to defeat
defer	postpone 
deference	courteously yielding to another 
deficit	shortage
defile	pollute, corrupt
definitive	conclusive, final 
deflect	turn aside 
deflower	despoil 
defraud	swindle 
defray	pay 
deft	skillful 
defunct	extinct 
degrade	demean 
dehydrate	dry out 
deign	condescend 
deity	a god
delectable	delicious
delegate	authorize
delete	remove
deleterious	harmful
deliberate	ponder
delineate	draw a line around, describe
delinquent	negligent, culpable
delirium	mental confusion, ecstasy
delude	deceive
deluge	a flood
delve	dig, explore (of ideas)
demagogue	a politician who appeals to base instincts
demean	degrade
demeanor	behavior
demented	deranged
demise	death
demobilize	disband
demography	study of human populations
demoralize	dishearten
demote	lower in rank
demur	take (mild) exception, balk
demure	sedate, reserved
denigrate	defame
denizen	dweller
denomination	class, sect
denote	signify, stand for
denouement	resolution
denounce	condemn 
denude	strip bare 
depart	leave 
depict	portray 
deplete	exhaust 
deplore	condemn 
deploy	arrange forces 
deportment	behavior, posture 
deposition	testimony 
depravity	immorality, wickedness 
deprecate	belittle 
depredation	preying on, plunder 
deprive	take away 
deracinate	uproot 
derelict	negligent 
deride	ridicule 
derisive	mocking 
derogatory	degrading 
derrick	crane 
desecrate	profane, defile 
desiccate	dehydrate 
designate	appoint 
desist	stop 
desolate	forsaken
despicable	contemptible
despise	loathe 
despondent	depressed 
despot	tyrant
destitute	poor
desuetude	disuse
desultory	without direction in life
detached	emotionally removed
detain	confine
détente	truce
detention	confinement
deter	discourage, prevent
deterrent	hindrance, disincentive
detract	lessen, undermine
detractor	one who criticizes
detrimental	harmful
detritus	debris
devastate	lay waste
deviate	turn away from
devise	plan
devoid	empty
devotee	enthusiast, follower
devout	pious
diabolical	devilish
dialectic	pertaining to debate
diaphanous	sheer, translucent
diatribe	long denunciation
dicey	risky
dichotomy	a division into two parts
dictate	command
dictum	saying
didactic	instructional
diffident	shy
digress	ramble
dilapidated	neglected 
dilate	enlarge 
dilatory	procrastinating 
dilemma	a difficult choice 
dilettante	amateur, dabbler 
diligent	hard-working 
diminution	reduction 
diocese	district
dire	dreadful
dirigible	airship, blimp
disabuse	correct
disaffect	alienate
disarray	disorder
disavow	deny, disown
disband	disperse
disburse	pay out
discernible	visible
discerning	observant
disclaim	renounce
disconcert	confuse
disconsolate	inconsolable
discord	lack of harmony
discourse	conversation
discreet	prudent
discrepancy	difference, disagreement
discrete	separate
discretion	prudence, the ability to make well-reasoned decisions
discriminating	able to see differences
discursive	rambling
disdain	contempt
disengage	release, detach
disfigure	mar, ruin
disgruntled	disappointed
dishevel	muss
disinclination	unwillingness
disingenuous	deceptive, insincere
disinter	unearth
disinterested	impartial
disjointed	disconnected, incoherent
dismal	gloomy 
dismantle	take apart 
dismay	dread 
disparage	belittle 
disparate	various 
disparity	difference, inequality 
dispassionate	impartial 
dispatch	send 
dispel	cause to banish 
disperse	scatter 
dispirit	discourage 
disposition	attitude, temper 
dispossess	take away possessions 
disputatious	fond of arguing 
dispute	debate 
disquietude	anxiety 
disquisition	elaborate treatise 
disrepute	disgrace 
dissemble	pretend, hide true beliefs 
disseminate	distribute 
dissent	disagree with the majority 
dissertation	lecture 
dissidence	disagreement 
dissipate	scatter, squander 
dissolute	profligate, immoral 
dissolution	disintegration
dissonance	discord
dissuade	deter
distend	swell
distortion	misinterpret, lie
distract	divert
distrait	preoccupied, absent-minded
distraught	distressed
distrust	suspect
dither	move without purpose
diurnal	daily
diva	prima donna
diverge	branch off
diverse	varying
diversion	pastime
diversity	variety
divest	strip, deprive
dividend	distributed profits
divine	foretell
divisive	causing conflict
divulge	disclose
docile	domesticated, trained
dock	curtail
doctrinaire	dogmatic
document	verify
dodder	tremble
dogged	persistent
doggerel	poor verse
dogmatic	certain, unchanging in opinion
dolce	sweetly and gently
doldrums	dullness
doleful	sorrowful
dolorous	gloomy 
domicile	home 
dominion	area of authority 
don	assume, put on doyen 
donor	contributor 
dormant	asleep 
dossier	file 
dotage	senility 
doting	attending 
double-entendre	having two meanings one of which is sexually suggestive 
doughty	resolute, unafraid
dour	sullen
dowager	widow
draconian	harsh
dregs	residue, riffraff
drivel	inane speech
droll	amusing
drone	speak in a monotonic voice 
dubious	doubtful
ductile	stretchable
dudgeon	resentment, indignant humor
duenna	governess
duet	twosome
dulcet	melodious
dupe	one who is easily trick, victim
duplicity	deceit, treachery
duress	coercion
dynamic	energetic
ebb	recede 
ebullient	exuberant 
eccentric	odd, weird 
ecclesiastical	churchly
echelon	degree, rank 
éclat	brilliance 
eclectic	from many sources 
ectoderm	top layer of skin 
ecumenical	universal, promoting unity
edict	order 
edifice	building 
edify	instruct
editorialize	express an opinion 
educe	draw forth, evoke 
efface	obliterate 
effeminate	unmanly 
effervescence	exuberance 
egress	exit 
ejaculate	exclaim
eke	supplement with great effort, strain
elaboration	detailed explanation
elate	raise spirits
electorate	voters
eleemosynary	pertaining to charity
elegant	refined, exquisite
elegiac	sad
elephantine	large
elicit	provoke
elide	omit
elite	upper-class
ellipsis	omission of words
eloquent	well-spoken
elucidate	make clear, explain
elude	evade
elusive	evasive
emaciated	underfed, gaunt
emancipate	liberate 
emasculate	castrate, dispirit 
embargo	restriction 
embellish	exaggerate, adorn 
embezzlement	theft 
emblazon	imprint, brand 
embody	personify 
embrace	accept, adopt 
embrangle	embroil 
embroil	involve with trouble
embryonic	rudimentary, nascent
emend	correct
emergent	appearing
emeritus	retired, but retaining title
eminent	distinguished, famous
emissary	messenger 
emote	to display exaggerated emotion 
empathy	compassion, sympathy
employ	make use of
empower	enable, grant
emulate	imitate
enact	decree, ordain
enamored	charmed, captivated
enate	related on the mother’s side
encapsulate	condense
enchant	charm
enclave	area enclosed within another region
encomium	praise
encompass	contain, encircle
encore	additional performance
encroach	trespass
encumber	burden
encyclopedic	comprehensive
endear	enamor
endeavor	attempt, strive
endemic	peculiar to a particular region
endocrinologist	one who studies glands of internal secretion
endoderm	within the skin
endorse	approve
endowment	property, gift
endure	to suffer without giving up
enervate	weaken
enfranchise	liberate, grant the right to vote
engaging	enchanting, charming
engender	generate, prompt
engrave	carve into a material
engross	captivate
engulf	overwhelm
enhance	improve
enigmatic	puzzling
enjoin	urge, order, forbid
enlighten	inform
enlist	join
enmity	hostility, hatred
ennoble	exalt
ennui	boredom, world-weariness
enormity	large, tragic 
ensemble	musical group 
enshroud	cover, obscure 
ensnare	trap, lure 
ensue	follow immediately
entail	involve, necessitate
enterprise	undertaking
enthrall	mesmerize 
entice	lure 
entomology	the study of insects 
entourage	assemblage, staff 
entreat	plead 
entrench	fortify 
entrepreneur	businessman 
enumerate	count 
enviable	desirable 
envision	imagine, visualize 
envoy	messenger 
eon	long period of time 
ephemeral	short-lived 
epic	majestic, a long narrative poem
epicure	gourmet
epidemic	spreading rapidly
epidemiology	study of the spread of disease
epigram	saying
episode	incident
epistemology	the branch of philosophy dealing with knowledge
epithet	name, appellation
epoch	era
epoxy	glue
equable	even-tempered
equanimity	composure, poise
equine	pertaining to horses
equitable	fair
equivocate	make intentionally ambiguous
era	period of time
eradicate	abolish
ergo	therefore
erode	wear away 
err	mistake, misjudge 
errant	wandering 
erratic	constantly changing 
erroneous	mistaken
ersatz	artificial 
erudite	learned 
erupt	burst forth 
escalate	intensify 
escapade	adventure 
escarpment	a steep slope 
eschew	avoid 
esoteric	known by only a few 
esplanade	boardwalk 
espouse	advocate 
esteem	respect 
esthetic	artistic 
estimable	meritorious 
estrange	alienate 
eternal	endless 
ethereal	light, airy 
ethical	conforming to accepted standards of behavior 
ethos	beliefs of a group 
etiquette	manners 
etymology	study of words 
euphemism	genteel expression
euphoria	elation
euthanasia	mercy-killing
evade	avoid
evanescent	fleeting, very brief
evangelical	proselytizing
evasive	elusive
eventful	momentous
eventual	ultimate, coming
eventuate	bring about
evidential	pertaining to evidence
evince	attest, demonstrate
eviscerate	disembowel
evoke	draw forth
evolution	gradual change
ewe	female sheep
ex officio	by virtue of position
exacerbate	worsen
exact	use authority to force payment
exacting	demanding, difficult
exalt	glorify
exasperate	irritate
excerpt	selection, extract
excision	removal
exclaim	shout
exclude	shut out
exclusive	prohibitive
excommunicate	expel
excruciate	torture
execrable	abominable
execute	put into effect
exegesis	interpretation
exemplary	outstanding 
exempt	excuse 
exhaustive	thorough 
exhibitionist	one who draws attention to himself 
exhort	strongly urge
exhume	uncover
exigency	urgency
exiguous	scanty
exile	banish
exodus	departure, migration
exonerate	free from blame
exorbitant	expensive
exorcise	expel
expanse	extent of land
expansive	sweeping
expedient	advantageous 
expedite	hasten 
expel	drive out 
expertise	knowledge, ability 
expiate	atone 
expletive	curse, invective
expliate	atone
explicate	explain
explicit	definite, clear
exploit	utilize, milk
expose	divulge, reveal
expostulate	protest
expound	explain
expropriate	dispossess, confiscate
expunge	erase
exquisite	beautifully made
extant	existing 
extemporize	improvise 
extent	scope 
extenuate	mitigate 
extirpate	seek out and destroy
extol	praise highly
extort	obtain under duress
extract	to pull out, exact
extradite	deport, deliver
extraneous	not essential
extrapolate	infer
extremity	farthest point, boundary
extricate	disentangle
extroverted	outgoing
extrude	force out
exuberant	joyous
exude	emit
exult	rejoice
fabrication	a lie
facade	mask, front of a building
facet	aspect
facetious	joking, sarcastic
facile	easy
facilitate	make easier
facility	skill
facsimile	duplicate
faction	clique, sect
factious	causing disagreement
factitious	artificial
factotum	handyman
fallacious	false 
fallacy	false belief
fallow	unproductive, unplowed
falsetto	high male voice
falter	waver
fanaticism	excessive zeal
fane	temple
