Dataset	Domain	Sent1	Sent2	Sent1_original	Sent2_original
STS2017	track1.ar-ar	Children playing with balloons, sitting above man dressed in a banana outfit.	A woman wearing a pink and black clothes, has a large tattoo on her back.	أطفال يلعبون بالبالونات ،يجلس فوقه رجل يرتدي زي الموز.	امرأة ترتدي ملابس وردية وسوداء لديها وشم كبير على ظهرها.
STS2017	track1.ar-ar	Soldiers walking in front of Phil	Sergeant leading his troops in formation inside a large room with a lot of flags in the background.	يسير جنود أمام فيل	رقيب يقود قواته في تشكيل داخل غرفة كبيرة مع الكثير من الأعلام في الخلفية.
STS2017	track1.ar-ar	Girl has Kahlan Mxworan.	The girl without legs.	فتاة لديها كاحلان مكسوران.	الفتاة بدون أرجل.
STS2017	track1.ar-ar	Sitting woman wearing a T-shirt in white plastered surrounded by a garden.	A man sitting, wearing black clothes on a bench in the park next to a large plate.	تجلس امرأة مرتدية قميصا أبيض في حديقة محاطة بالملصقات.	يجلس رجل مرتديا لباسا أسود على مقعد في الحديقة بجانب لوحة كبيرة.
STS2017	track1.ar-ar	The drawings on the wall depicting children paint the words "Brick City" on the wall.	Drawing some of the art on a wall.	تصور رسومات على الحائط أطفالا يرسمون الكلمات " Brick City " على الحائط.	رسم بعض الفنون على أحد الجدران.
STS2017	track1.ar-ar	Painter paints on clothing	Baby clothes by the color white.	يرسم الرسام على الملابس	ملابس الطفل بها لون أبيض.
STS2017	track1.ar-ar	Men from the Middle East to attend the fish in the kitchen.	 Two women in the kitchen are preparing the vegetables in the frying pan.	يحضر رجال من الشرق الأوسط السمك في مطبخ.	 امرأتان في مطبخ تحضران الخضار في مقلاة.
STS2017	track1.ar-ar	Dog plays Belath.	Dog plays Belath.	يلعب كلب بلعبته.	يلعب كلب بلعبته.
STS2017	track1.ar-ar	The girl carrying beer.	Women bear beer.	تحمل الفتاة جعة.	تحمل المرأة جعة.
STS2017	track1.ar-ar	A man cut something with a knife.	Mince man something on the table with a knife.	يقطع رجل شيئا ما بسكين.	يفرم رجل شيئا ما على الطاولة بالسكين.
STS2017	track1.ar-ar	Seven men were praying in the church.	Two people were praying outside the temple.	سبعة رجال يؤدون الصلاة في كنيسة.	شخصان يصليان خارج المعبد.
STS2017	track1.ar-ar	The man near the children.	The boy near the other children.	الرجل بالقرب من طفلين.	الصبي بالقرب من أطفال آخرين.
STS2017	track1.ar-ar	Boy wearing a red shirt.	Boy wearing a yellow T-shirt.	يرتدي الصبي قميصا أحمر.	يرتدي الصبي قميصا أصفر.
STS2017	track1.ar-ar	Two boys walking into the parade.	Musicians within walking procession.	يسير صبيان ضمن موكب.	يسير الموسيقيون ضمن موكب.
STS2017	track1.ar-ar	A woman sitting on the beach.	A woman sitting on the beach.	امرأة جالسة على الشاطئ.	تجلس امرأة على الشاطئ.
STS2017	track1.ar-ar	Children playing outside.	Children playing outside.	أطفال يلعبون في الخارج.	أطفال يلعبون في الخارج.
STS2017	track1.ar-ar	The child was crying because he was hungry.	The child does not cry.	كان الطفل يبكي لأنه كان جائعا.	لا يبكي الطفل.
STS2017	track1.ar-ar	Dog limp middle of the field.	Dog running around in the field.	الكلب يعرج وسط الحقل.	يركض الكلب في الحقل.
STS2017	track1.ar-ar	Two people sitting next to a large building, where they were talking.	Two men beside the building.	يجلس شخصان بجانب مبنى كبير، حيث كانا يتحدثان.	رجلان بجانب مبنى.
STS2017	track1.ar-ar	A child wearing a red jump on something red, while others laugh.	A man without a shirt starts jumping from the side of the drum amid a host of other drums.	يقفز طفل مرتديا أحمر على شيء أحمر ، بينما يضحك الآخرون.	يبدأ رجل بدون قميص بالقفز من جانب الطبل وسط مجموعة من الطبول الأخرى.
STS2017	track1.ar-ar	There are no women on the street wearing green.	The man walks on the street dressed in a white jacket.	لا يوجد امرأة في الشارع ترتدي الأخضر.	يمشي الرجل على الشارع مرتديا سترة بيضاء.
STS2017	track1.ar-ar	The two men carrying a slogan directed at the president.	Three men standing in front of a signal by the American flag.	يحمل الرجلان شعارا موجها إلى الرئيس.	يقف ثلاثة رجال أمام إشارة عليها العلم الأمريكي.
STS2017	track1.ar-ar	Rocks factor resides in one of the airports.	Man who resides in one of the stations.	يتواجد عامل صخور في أحد المطارات.	يتواجد رجل في إحدى المحطات.
STS2017	track1.ar-ar	Child sweats on the beach.	Child on the beach.	الطفل يتعرق على الشاطئ.	الطفل على الشاطئ.
STS2017	track1.ar-ar	People asleep on the couch.	People are sleeping on the couch.	الناس نائمون على الأريكة.	الناس نيام على الأريكة.
STS2017	track1.ar-ar	Gray dog running around outside.	White dog running around outside.	كلب رمادي يركض في الخارج.	كلب أبيض يركض في الخارج.
STS2017	track1.ar-ar	Woman wearing a winter coat.	Woman wearing a large coat.	امرأة مرتدية معطفا شتويا.	امرأة مرتدية معطفا كبيرا.
STS2017	track1.ar-ar	However, a woman holding her child.	However, a girl stuck her mother.	تمسك امرأة بيد طفلها.	تمسك فتاة بيد أمها.
STS2017	track1.ar-ar	People taking photos of one of the elephants.	A group of people taking photos.	أناس يلتقطون صورا لأحد الفيلة.	مجموعة من الناس يلتقطون صورا.
STS2017	track1.ar-ar	Biker after the race.	Wins the race a person on a bicycle BMX	سائق الدراجة بعد السباق.	يفوز في السباق شخص على دراجة BMX
STS2017	track1.ar-ar	Yellow bag empty.	A yellow bag.	الحقيبة الصفراء فارغة.	الحقيبة صفراء.
STS2017	track1.ar-ar	Young has cookies.	The woman breakfast for her and her boyfriend.	شاب لديه كعك.	تعد امرأة فطورا لها ولصديقها.
STS2017	track1.ar-ar	Meet the crowds in Times Square.	Meet a crowd of people in Times Square.	تجتمع الحشود في ساحة التايمز.	يجتمع حشد من الناس في ساحة التايمز.
STS2017	track1.ar-ar	Bardan dog in a pond.	Dog closed the water after swimming in the pond.	كلب بردان في أحد البرك.	كلب ينفض الماء بعد السباحة في البركة.
STS2017	track1.ar-ar	Stands for a group of people, mostly hats made of straw, in the open among the green land.	Stands for a group of people, mostly hats made of straw, in the open among the green land.	تقف مجموعة من الناس ، أغلبهم بقبعات مصنوعة من القش ، في الخلاء بين الأراضي الخضراء.	تقف مجموعة من الناس ، أغلبهم بقبعات مصنوعة من القش ، في الخلاء بين الأراضي الخضراء.
STS2017	track1.ar-ar	The waiter drink.	A man cut something in the kitchen.	يُعد النادل شرابا.	يقطع رجل شيئا ما في المطبخ.
STS2017	track1.ar-ar	Kalban Itardan rabbit.	Two shots Ttardan rabbit.	كلبان يطاردان أرنبا.	قطتان تطاردان أرنبا.
STS2017	track1.ar-ar	Shave the dog through the air in the plane.	Shave the dog in the air.	يحلق الكلب عبر الهواء في الطائرة.	يحلق الكلب في الهواء.
STS2017	track1.ar-ar	Woman sews the torn piece.	Woman using the machine for sewing.	تخيط امرأة القطعة الممزقة.	تستخدم امرأة آلة للخياطة.
STS2017	track1.ar-ar	People shopping for Christmas holiday for their fellow workers.	People are shopping to buy gifts for the Christmas holiday.	يتسوق الناس لعيد الميلاد من أجل زملائهم العمال.	يتسوق الناس لشراء هدايا لعيد الميلاد.
STS2017	track1.ar-ar	Lies a small boy wearing a beanie on the green grass, with dry leaves on the ground, about to take a nap.	Two young girls, eating corn on the back Jawad short legs, on the sidewalk, without shoes.	يستلقي صبي صغير مرتديا قبعة صغيرة على عشب أخضر ، مع أوراق يابسة على الأرض ، على وشك أن يأخذ قيلولة.	فتاتان صغيرتان تأكلان الذرة على ظهر جواد قصير الأرجل ،على الرصيف ، بدون أحذية.
STS2017	track1.ar-ar	People shopping in the open air.	People were shopping.	يتسوق الناس في الهواء الطلق.	الناس يتسوقون.
STS2017	track1.ar-ar	He plays the tuba machine man wearing a leather jacket.	Alsksifun machine plays the man wearing a red jacket abroad.	يعزف على آلة التوبا رجل يرتدي سترة جلدية.	يعزف على آلة السكسيفون رجل يرتدي سترة حمراء في الخارج.
STS2017	track1.ar-ar	A man comes out the garbage.	A man collects all garbage.	رجل يُخرج القمامة.	رجل يجمع كل القمامة.
STS2017	track1.ar-ar	A man lying on the ground.	A man lying on the ground outside.	رجل يستلقي على الأرض.	رجل يستلقي على الأرض في الخارج.
STS2017	track1.ar-ar	A number of people under the rain.	People in the rain.	عدد من الأشخاص تحت الأمطار.	الناس تحت المطر.
STS2017	track1.ar-ar	The band perform eight songs under the spotlight.	The band played under the lights.	تؤدي الفرقة 8 أغنيات تحت الأضواء.	الفرقة تعزف تحت الأضواء.
STS2017	track1.ar-ar	Spectators watching the play suffered.	Get the choir on the images that were taken during the show.	يشاهد المتفرجون المسرحية التي تُعرض.	تحصل الجوقة على صورها التي تم التقاطها خلال العرض.
STS2017	track1.ar-ar	White paste.	Table thick.	العجينة بيضاء.	الطاولة سميكة.
STS2017	track1.ar-ar	Boys playing a video game.	Two boys playing a video game.	صبية يلعبون لعبة فيديو.	صبيان يلعبان لعبة فيديو.
STS2017	track1.ar-ar	Child inside the rail tunnel.	A man crosses a bridge in front of a deserted buildings.	طفل داخل نفق للسكك الحديدية.	رجل يعبر جسرا مهجورا أمام أحد الأبنية.
STS2017	track1.ar-ar	Competing group of people in a kind of enemy competitions.	There is a group of people in the contest.	يتنافس مجموعة من الناس في نوع من مسابقات العدو.	هناك مجموعة من الناس في مسابقة.
STS2017	track1.ar-ar	Little girl karate lessons apply to her brother.	Girl see her boyfriend practicing martial arts.	تطبق فتاة صغيرة دروس الكاراتيه على أخيها.	فتاة تشاهد صديقها يمارس فنون الدفاع عن النفس.
STS2017	track1.ar-ar	The boy shakes hands with a man municipality.	The boy is not wearing something on his head.	يصافح الصبي رجل البلدية.	لا يرتدي الصبي شيئا على رأسه.
STS2017	track1.ar-ar	The man on the beach.	The man on the beach.	الرجل على الشاطئ.	الرجل على الشاطئ.
STS2017	track1.ar-ar	Dog jumped high.	Dog jumps high, when it is abroad.	قفز الكلب عاليا.	يقفز كلب عاليا ، حين يكون بالخارج.
STS2017	track1.ar-ar	Once among the blue plum.	Brown puppy lay on his back on the grass.	ذات مرة بين البرقوق الأزرق.	يستلقي جرو بني على ظهره فوق العشب.
STS2017	track1.ar-ar	An elderly man holding something sharp in his hands.	A man with something in his hand.	رجل مسن يمسك شيئا حادا بين يديه.	رجل معه شيء ما بيده.
STS2017	track1.ar-ar	People standing in front of mechanical equipment.	There are people standing in front of mechanical equipment.	يقف أناس أمام معدات ميكانيكية.	هناك أشخاص يقفون أمام معدات ميكانيكية.
STS2017	track1.ar-ar	Two dogs running towards Sahbhma.	Two dogs running Sahbhma.	يركض كلبان باتجاه صاحبهما.	يركض كلبان إلى صاحبهما.
STS2017	track1.ar-ar	Two brothers dealing with food.	People are stealing food from a vendor food runabout.	شقيقان يتناولان الطعام.	أشخاص يسرقون الطعام من بائع المواد الغذائية المتجول.
STS2017	track1.ar-ar	Baseball player white in color.	There are a baseball player wearing a white color.	لاعب البيسبول أبيض اللون.	هناك لاعب بيسبول يرتدي اللون الأبيض.
STS2017	track1.ar-ar	The man pulls a gun to steal a mattress seller.	A man tries to extinguish a small fire.	يسحب الرجل مسدسا لسرقة فرشة البائع.	يحاول رجل إخماد حريق صغير.
STS2017	track1.ar-ar	People watching a professional offer to play with fire.	Some children are playing outside.	يشاهد الناس عرضا محترفا للعب بالنار.	بعض الأطفال يلعبون لعبة في الخارج.
STS2017	track1.ar-ar	Girl pink Tertra riding a foal.	Girl riding a foal.	فتاة ترتري الوردي تمتطي مهرا.	فتاة تمتطي مهرا.
STS2017	track1.ar-ar	A young man who works has cheated on a bicycle.	Boy doing bike tricks.	شاب يقوم بعمل خدع من على دراجة.	صبي يقوم بعمل حيل الدراجة.
STS2017	track1.ar-ar	A man wearing a bathing swimsuit Aagafzaly pond hat, while seen by other men.	Factor of peace wearing a helmet, steel jacket, while the other men at the bottom works.	رجل يرتدي قبعة الاستحمام وملابس السباحة يقفزإلى البركة ، في حين ينظر إليه رجال آخرون.	عامل على السلم يرتدي خوذة فولاذية وسترة ، في حين يعمل رجال آخرون في الأسفل.
STS2017	track1.ar-ar	Someone is going to swim in the ocean.	Someone floating in the ocean.	شخص ما ذاهب للسباحة في المحيط.	شخص ما يسبح في المحيط.
STS2017	track1.ar-ar	It is sunny outside.	it's cold outside.	الجو مشمس في الخارج.	الجو بارد في الخارج.
STS2017	track1.ar-ar	A man and a woman Asttien do not see each other.	Man looking for someone.	رجل وامرأة لا يستطيعان رؤية بعضهما البعض.	يبحث الرجل عن شخص ما.
STS2017	track1.ar-ar	There is a man waiting for the subway.	A man looks at his watch while waiting at the subway.	هناك رجل ينتظر في مترو الأنفاق.	رجل ينظر إلى ساعته أثناء انتظاره مترو الانفاق.
STS2017	track1.ar-ar	Air bubble length of 20 feet.	Climber climbs in the dark.	فقاعة هواء طولها 20 قدما.	متسلق يتسلق في الظلام.
STS2017	track1.ar-ar	Naked man sitting on the couch.	A man sitting on the couch.	رجل عارٍ يجلس على الأريكة.	رجل يجلس على الأريكة.
STS2017	track1.ar-ar	A man carving carved from ice.	A man makes art forms of ice	رجل ينحت منحوتة من الجليد.	رجل يصنع أشكالا فنية من الجليد
STS2017	track1.ar-ar	Fire is part of the show for exhibitors streets.	A person displays in the street.	النار جزء من العرض لعارض الشوارع.	الشخص يعرض في الشارع.
STS2017	track1.ar-ar	Children Hop around on the beach and they are looking for shellfish.	Three children look at the dead fish floating in the ocean.	يتقافز الأطفال على الشاطئ وهم يبحثون عن المحار.	ثلاثة أطفال ينظرون إلى الأسماك النافقة الطافية فوق مياه المحيط.
STS2017	track1.ar-ar	A man with a black leather jacket in the movie	A man with a black leather jacket.	رجل ذو سترة جلدية سوداء في فيلم	رجل ذو سترة جلدية سوداء.
STS2017	track1.ar-ar	A man was not wearing a shirt but was wearing jeans.	The man was wearing pants.	رجل لم يكن يرتدي قميصا ولكنه كان يرتدي سروالا من الجينز.	كان الرجل يرتدي السراويل.
STS2017	track1.ar-ar	An old man sits.	An old man sitting	يجلس رجل عجوز.	رجل عجوز جالس
STS2017	track1.ar-ar	Fans boy bike.	A person walking a dog, the child riding a skateboard.	صبي معجب بدراجة.	شخص يسير الكلب، والطفل يركب لوح التزلج.
STS2017	track1.ar-ar	Some people were practicing sports, and wounded one man.	Men group of close friends, they have a game night.	بعض الناس كانوا يمارسون الرياضة، وأصيب رجل واحد.	مجموعة رجال من الأصدقاء المقربين ، لديهم مباراة ليلية.
STS2017	track1.ar-ar	Lady standing on the shoulders of a tall man.	A man speaking to a woman sitting behind the table.	سيدة تقف على أكتاف رجل طويل القامة.	رجل يتحدث أمام سيدة تجلس وراء طاولة .
STS2017	track1.ar-ar	A man watching another man he plays the game.	A child plays in a car and Igilz, and a man watching him.	رجل يراقب رجلا آخر وهو يلعب لعبة.	طفل يلعب في بسيارة ويجيلز، ورجل يراقبه .
STS2017	track1.ar-ar	Baby wearing a T-shirt striped rainbow paid game cart.	Girl striped shirt sitting on a bicycle.	طفل يرتدي قميصا مقلما بقوس قزح يدفع عربة لعبة.	فتاة بقميص مقلم تجلس على دراجة هوائية.
STS2017	track1.ar-ar	There was not a bike	No one on the bike.	لم يكن هناك دراجة	لا أحد على دراجة.
STS2017	track1.ar-ar	Preparing a group of people to swim.	A group of people preparing for swimming.	تستعد مجموعة من الناس للسباحة.	مجموعة من الناس تستعد للسباحة.
STS2017	track1.ar-ar	A couple in Paris.	Both men and women were shopping for dinner	زوجان في باريس.	الرجلان والمرأة كانوا يتسوقون من أجل العشاء
STS2017	track1.ar-ar	Person reclining on the wall.	A person lying on the sidewalk.	شخص مستلقٍ على جدار.	شخص مستلقٍ على الرصيف .
STS2017	track1.ar-ar	Two men playing with guns nails, but without wood.	Two women play a game with sticks and a small white ball.	رجلان يلعبان ببنادق المسامير، ولكن بدون خشب .	تلعب امرأتان لعبة بالعصي وكرة صغيرة بيضاء .
STS2017	track1.ar-ar	Stir man's couch.	The man moves	يحرك الرجل الأريكة.	الرجل يتحرك
STS2017	track1.ar-ar	Tourists admire in Rome's Trevi fountain.	Watching tourists in Rome sculptures.	السياح في روما معجبون بنافورة تريفي.	يشاهد السياح في روما المنحوتات.
STS2017	track1.ar-ar	Blonde woman protester in front of the airport.	Woman is strained.	امرأة شقراء متظاهرة أمام مطار.	امرأة غير متكلفة.
STS2017	track1.ar-ar	It works with another employee.	 Director speaks to a member of staff with him.	هو يعمل مع موظف آخر.	 مدير يتحدث إلى أحد العاملين عنده .
STS2017	track1.ar-ar	Stop the man near the banner of Nebraska.	The man near the saw.	وقف الرجل بالقرب من لافتة نبراسكا.	الرجل بالقرب من المنشار.
STS2017	track1.ar-ar	Teenage boy Aagafzaaly inflatable sled.	Boy bouncing on a trampoline.	صبي مراهق يقفزعلى مزلجة قابلة للنفخ.	صبي يثب على ترامبولين .
STS2017	track1.ar-ar	People continued to play hopscotch for 12 hours.	There are land come to all children and sitting on a ring before the start of the game	استمر شخص بلعب الحجلة لمدة 12 ساعة.	هناك أرض يأتي إليها جميع الأطفال ويجلسون على شكل حلقة قبل بداية المباراة
STS2017	track1.ar-ar	A man dressed as a ghost, like the music that plays aggressively.	A man plays the guitar, dressed in traditional.	رجل يرتدي زي شبح ، يحب الموسيقى التي تعزف بعنف.	رجل يعزف على غيتاره، مرتديا زيا تقليديا.
STS2017	track1.ar-ar	A boy and happily balancing a plate.	A boy is to achieve a balance plate.	صبي وبسعادة موازنة طبق من ذهب.	صبي هو يحقق توازن طبق من ذهب.
STS2017	track1.ar-ar	Girl wearing colors dance abroad.	A small girl wearing a pink, dancing on the sidewalk.	فتاة ترتدي ألوانا ترقص في الخارج .	فتاة صغيرة ترتدي ورديا ، ترقص على الرصيف.
STS2017	track1.ar-ar	A bird sitting on a power cord.	A man next to a traffic light.	عصفور يجلس على سلك الطاقة.	رجل بجوار إشارة المرور.
STS2017	track1.ar-ar	A group of children swimming in the pool.	A group of women Tsobhn in the swimming pool.	مجموعة من الأطفال يسبحون في مَسْبَح.	مجموعة من النساء تسبحن في مَسْبَح.
STS2017	track1.ar-ar	Someone writes something on the book.	Someone opens a book.	شخص يكتب شيئا ما على كتاب.	شخص ما يفتح كتابا.
STS2017	track1.ar-ar	Man what Anziv windows inside.	Someone sleeps on the floor Altobah.	رجل ما ينظيف النوافذ في الداخل.	ينام شخص ما على الأرض الطوبية.
STS2017	track1.ar-ar	Girls held their fingers on the form of V.	A man and a woman standing next to his hands on Zqounama holiday Christmas tree.	تعقد البنات أصابعهن على شكل V.	رجل وامرأة يقفان بجوار شجرة عيد الميلاد وأيديهما على ذقونهما .
STS2017	track1.ar-ar	People flee from foreigners.	People are fleeing abroad.	يهرب الناس من الأجانب.	الناس في الخارج يلوذون بالفرار .
STS2017	track1.ar-ar	The man playing for a crowd.	Woman playing to a crowd.	يعزف الرجل لحشد من الناس .	امرأة تعزف لحشد من الناس .
STS2017	track1.ar-ar	A young boy climbs a shrub in the city center.	Girl meditate on a rock high peak in the middle of a forest.	صبي صغير يتسلق شجيرة في وسط المدينة.	فتاة تتأمل على قمة صخرة عالية في وسط غابة.
STS2017	track1.ar-ar	This woman watching TV, while it is waiting for the food.	Family watching TV together.	هذه المرأة تشاهد التلفاز ، بينما هي تنتظر الطعام.	عائلة تشاهد التلفاز معا.
STS2017	track1.ar-ar	A group of men are talking.	The man is with a group of friends	مجموعة من الرجال يتحدثون .	الرجل موجود مع مجموعة من الأصدقاء
STS2017	track1.ar-ar	Men ate a topic.	Two people were transporting the platform to a new place.	رجال يتناولون موضوعا ما .	شخصان ينقلان منصة إلى مكان جديد .
STS2017	track1.ar-ar	Children dressed in clothes compliant are present at a party.	Men and women, all dressed luxurious party.	أطفال يرتدون ملابس متوافقة متواجدون في حفلة.	الرجال والنساء جميعهم يرتدون ملابس أنيقة لحفلة فاخرة .
STS2017	track1.ar-ar	Many people are walking in the street.	Some people walking in the streets of a city.	كثير من الناس يسيرون في الشارع.	بعض الناس يسيرون في أحد شوارع المدينة.
STS2017	track1.ar-ar	A woman walking next to food peddler on the streets	A woman walks next to a restaurant serving fast food.	امرأة تمشي بجوار بائع أغذية متجول في الشوارع	امرأة تسير بجانب مطعم يقدم الوجبات السريعة.
STS2017	track1.ar-ar	Child sitting on a stone wall.	Child sitting on a stone wall in the autumn.	يجلس طفل على جدار حجري .	يجلس طفل على جدار حجري في فصل الخريف.
STS2017	track1.ar-ar	Chasing a giant rat for two women Edhma.	Two women entered in a battle with the cat.	يطارد فأر عملاق امرأتين لعضهما .	دخلت امرأتان في معركة مع القط.
STS2017	track1.ar-ar	Young people taking photos from the air.	There are girls Tltqtun images.	الشباب يلتقطون صورا من الجو .	هناك فتيات تلتقطن صورا.
STS2017	track1.ar-ar	Girl and her father during Tenzema Altqtan pictures in the park.	 He took a child by her father to walk in the park.	طفلة ووالدها يلتقطان صورا أثناء تنزهما في الحديقة.	 اصطحبت طفلة بواسطة والدها إلى نزهة في حديقة .
STS2017	track1.ar-ar	Building a car abroad.	Construction crew working abroad.	سيارة البناء في الخارج.	يعمل طاقم البناء في الخارج .
STS2017	track1.ar-ar	Surfer wearing a black suit divers.	A man in a black suit divers riding the waves on a board to ride the waves of green.	يرتدي راكب الأمواج بدلة غواصين سوداء .	رجل في بذلة غواصين سوداء يركب الأمواج علي لوح ركوب أمواج أخضر.
STS2017	track1.ar-ar	The man outside next to a banner buses.	Cross the street a woman, seeing the camera are among the two buses.	الرجل في الخارج بجوار لافتة الحافلات .	تعبر امرأة الشارع ، رؤية الكاميرا هي من بين حافلتين.
STS2017	track1.ar-ar	There is a dog in the picture.	There is a dog in the picture	يوجد كلب في الصورة.	هناك كلب في الصورة
STS2017	track1.ar-ar	Two boys wearing clothes for swimming	Girls wear skirts.	صبيان يرتديان ملابس للسباحة	الفتيات ترتدين التنانير.
STS2017	track1.ar-ar	Elderly woman pushing stroller	Elderly woman pushing a baby carriage.	سيدة مسنة تدفع عربة	سيدة مسنة تدفع عربة أطفال.
